# format	instantane-des-identifiants/1
# date	2026-09-24T13:54:37+00:00
# commit du code	a7ea049d28ea3bffa9f54da8e12b0518081b3d28
# source des identifiants	emission de la production, prouvee egale au graphe
partition_key	cle	fichier	elements	sha256_du_releve	sha256_de_l_entree
htms/MLOps with Databricks/1. MLOps Principles and Components.html	htms/MLOps with Databricks/1. MLOps Principles and Components	htms__MLOps with Databricks__1. MLOps Principles and Components.tsv	489	4349db9590ba0f83066eeb1dd2204a9afd70238f3675c2dcffec93544b68647d	85efb26e6fc9c02145ece40c8e69ca42b713fb1518fcc3fcec5960dc63e6eddf
htms/MLOps with Databricks/10. AI Governance.html	htms/MLOps with Databricks/10. AI Governance	htms__MLOps with Databricks__10. AI Governance.tsv	627	c5edabf0130e6e76f47ca0b41de58fbb2784e06a5b786c2ba5ccd25d417ac8f1	c558a955ac0158ee269836b5e71ab7ebc272a25aee7e619e78ed9aa98c019938
htms/MLOps with Databricks/2. Developing on Databricks.html	htms/MLOps with Databricks/2. Developing on Databricks	htms__MLOps with Databricks__2. Developing on Databricks.tsv	1234	abd45093489bceb083d98d646c5f753adee699991f6d0b0eb7f1b5109a581e99	eacc438b50f74d56cf1c733171b80ec755c6626d27eda49fde49f8995b59aa07
htms/MLOps with Databricks/3. MLflow for Traditional ML.html	htms/MLOps with Databricks/3. MLflow for Traditional ML	htms__MLOps with Databricks__3. MLflow for Traditional ML.tsv	1247	42a234e6cc966a256a1a69752f1d48c774942b75cc1e09ffe86d6a69767310b2	a6f351f4f97ffa372cfa77b04dd4d4e947251d65b1c3b3f8c08c145d3133b859
htms/MLOps with Databricks/4. Model Serving\uff1a Architectures and Implementation.html	htms/MLOps with Databricks/4. Model Serving\uff1a Architectures and Implementation	htms__MLOps with Databricks__4. Model Serving\uff1a Architectures and Implementation.tsv	1059	914d524e0b351fc96f0af2ebc0a521f8a30dda3d5e8c968025f6d6364d232593	a0bb057378132653aabff26a7d5f1e78dd6f9204c9791bd3416f23549c60812e
htms/MLOps with Databricks/5. Machine Learning Model Deployment.html	htms/MLOps with Databricks/5. Machine Learning Model Deployment	htms__MLOps with Databricks__5. Machine Learning Model Deployment.tsv	1058	1150bc90222c3e642de1750a41cc2e80bc8802767f7342c13655ca6aafc35142	51beb61c89b3995fd7c3ab85bddcb2a6c1ded193dc70701a339b8943c72ca3f1
htms/MLOps with Databricks/6. Monitoring ML Applications.html	htms/MLOps with Databricks/6. Monitoring ML Applications	htms__MLOps with Databricks__6. Monitoring ML Applications.tsv	913	701f30101e28a5a04fff6e293985fd9656502d4ff8898d97e4a61a912110eb13	554c370dec76613c64d8232820842f30bd5a60c672cc207b8412a1133686cfd2
htms/MLOps with Databricks/7. Foundation Models and Context Engineering.html	htms/MLOps with Databricks/7. Foundation Models and Context Engineering	htms__MLOps with Databricks__7. Foundation Models and Context Engineering.tsv	1270	3b6c40ee3ff4429f9b347200d8fdd168bab2a510916be54fd772a7a82e94cfda	aa728ee7b645d589adf956aea9ee2e450d3fca8b8003fd5bb0ad3369b94269cc
htms/MLOps with Databricks/8. MLflow for GenAI.html	htms/MLOps with Databricks/8. MLflow for GenAI	htms__MLOps with Databricks__8. MLflow for GenAI.tsv	815	da0b275d02383563adf132fb7174dd1cba50a0aebc16eaf74f5affdc81bf0e01	5489527293de51b6a34ffc7ba0547f667faa1b108f51ed4df50c89a954dd14bf
htms/MLOps with Databricks/9. Deploying in Monitoring LLM-Based Systems.html	htms/MLOps with Databricks/9. Deploying in Monitoring LLM-Based Systems	htms__MLOps with Databricks__9. Deploying in Monitoring LLM-Based Systems.tsv	973	967e75fc910cf871b3a878e34f107924f5e03744dfd4d426a23e5a8dc607a8e9	b1697a4ed553c1fe35daae781dfd5cbf5ea9ce531d3509dd8941d0a88710cb8e
htms/MLOps with Databricks/Preface.html	htms/MLOps with Databricks/Preface	htms__MLOps with Databricks__Preface.tsv	160	b0bed4b3384bc7de6ca3073f3b4b08fe276fd1c609c5b58ff11749390944fcf4	b9d542a017afd377aab1c0e51de51d2bb667bfa7804b8de65200c6b88fd5a4ba
