element_id	page_no	position_in_page	self_ref	text50	label
dda1f33b76	1	0	#/texts/0	Chapter 4. Model Serving: Architectures and Implem	title
421e23ec1a	1	1	#/texts/1	After we register the model, it will be ready for 	text
5e29418c20	1	2	#/texts/2	Many ML models are deployed as batch processes, wh	text
06fb09336a	1	3	#/texts/3	While implementing a full batch inference pipeline	text
62bead1625	1	4	#/texts/4	predict	code
89e9b58d1e	1	5	#/texts/5	function in	text
98961931f0	1	6	#/texts/6	Chapter 3	text
31f16e34cc	1	7	#/texts/7	. However, instead of running inference on observa	text
0774f23b2e	1	8	#/texts/8	In this chapter, I'll cover situations in which ML	text
108be3093c	1	9	#/texts/9	There are three main scenarios we'll cover:	text
e74bcf1706	1	10	#/texts/10	Model Serving	list_item
39af01008c	1	11	#/texts/11	All the features are available to the model via th	list_item
7a98637ab8	1	12	#/texts/12	Serving precomputed batch predictions	list_item
37fd223781	1	13	#/texts/13	Predictions are precomputed in advance and stored 	list_item
57045167bc	1	14	#/texts/14	Model Serving with feature lookup	list_item
968bb55842	1	15	#/texts/15	Predictions are computed at the moment of request.	list_item
a97a2fdd92	1	16	#/texts/16	While I'll be covering all core deployment scenari	text
ce6f69ac22	1	17	#/texts/17	From an endpoint deployment perspective on Databri	text
838d1444af	1	18	#/texts/18	The primary difference lies upstream: synchronizat	text
ded63cddea	1	19	#/texts/19	There's another important question in model deploy	text
88e2c65ad9	1	20	#/texts/20	In some organizations, the same team that develops	text
7d40742018	1	21	#/texts/21	In other organizations, particularly larger enterp	text
dcdf61586e	1	22	#/texts/22	I recommend that you keep model development and pr	text
233ba6e4df	1	23	#/texts/23	Model Serving is often challenging for data scienc	text
d4bd8851a9	1	24	#/texts/24	With	text
9e67af59c0	1	25	#/texts/25	Serverless Model and Feature Serving	text
bbcd71fe01	1	26	#/texts/26	, Databricks simplifies deployment infrastructure.	text
32c1b04ed5	1	27	#/texts/27	Direct deployment by data science teams (when the 	list_item
02c2bd7709	1	28	#/texts/28	Standardization and governance of deployments by M	list_item
a9beaced83	1	29	#/texts/29	Clear ownership with less operational burden	list_item
9f691b8604	1	30	#/texts/30	Rather than prescribing a single \"ideal\" structure	text
0aeae0ea76	1	31	#/texts/31	Let's begin by covering how to deploy an endpoint 	text
ccd7005353	1	32	#/texts/32	Model Serving	title
4249631ba1	1	33	#/texts/33	In the first scenario, we'll explore	text
8a62720068	1	34	#/texts/34	M odel S erving	text
024b07b830	1	35	#/texts/35	, assuming that all required features are included	text
c4156cf235	1	36	#/texts/36	Figure 4-1	text
fee6c4e5f1	1	37	#/texts/37	shows a typical automated pipeline for retraining 	text
de88c13576	1	38	#/texts/38	Lakeflow jobs	text
9094f4421c	1	39	#/texts/39	, which handle orchestration, and	text
708f15a838	1	40	#/texts/40	Unity Catalog	text
b5e9f01778	1	41	#/texts/41	(UC), which manages governance and access. We firs	text
b13e901c7b	1	42	#/texts/42	Chapter 1	text
8456d95d3c	1	43	#/texts/43	, and we will examine them in detail in	text
206890863f	1	44	#/texts/44	Chapter 5	text
991fe73eaa	1	45	#/texts/45	.	text
1ffddc969a	1	46	#/texts/46	For Model Serving, we can perform both	text
7992087533	1	47	#/texts/47	model retraining	text
40dcbcc083	1	48	#/texts/48	and	text
76df350036	1	49	#/texts/49	endpoint updates	text
c644275c1b	1	50	#/texts/50	within the same pipeline. A scheduled Lakeflow job	text
1c3cc31958	1	51	#/pictures/0	Diagram illustrating a Model Serving pipeline, sho	picture
62f875eea6	1	52	#/texts/52	We will discuss this pipeline in depth in	text
a4f795f0b4	1	53	#/texts/53	Chapter 5	text
32eda37e11	1	54	#/texts/54	, but for now, let's focus on the endpoint deploym	text
e4e3407ab6	1	55	#/texts/55	To deploy an endpoint for this use case, we first 	text
5211d12da6	1	56	#/texts/56	import mlflow	code
c8445de98c	1	57	#/texts/57		code
341ac971b5	1	58	#/texts/58	from mlflow import MlflowClient	code
85bf440f8e	1	59	#/texts/59		code
b63b91fd43	1	60	#/texts/60	from hotel_booking.config import ProjectConfig	code
5f59dd491a	1	61	#/texts/61		code
c2b8062d9f	1	62	#/texts/62	from hotel_booking.utils.common import set_mlflow_	code
b6b2913a7c	1	63	#/texts/63		code
7ebf81ac8c	1	64	#/texts/64	set_mlflow_tracking_uri ()	code
6bcf597f7a	1	65	#/texts/65		code
69e3612617	1	66	#/texts/66	cfg = ProjectConfig . from_yaml ( \"../project_conf	code
a4adcf7b2f	1	67	#/texts/67		code
bc61045d26	1	68	#/texts/68	catalog = cfg . catalog	code
77b512c0f2	1	69	#/texts/69		code
d22e572403	1	70	#/texts/70	schema = cfg . schema	code
e92dd428c8	1	71	#/texts/71		code
9f8aed90c6	1	72	#/texts/72	model_name = \"hotel_booking_pyfunc\"	code
f56c70f807	1	73	#/texts/73		code
d7dec92e79	1	74	#/texts/74	client = MlflowClient ()	code
7d61352c77	1	75	#/texts/75		code
351605d469	1	76	#/texts/76	model_version = client . get_model_version_by_alia	code
92fdf9737f	1	77	#/texts/77	Then, we'll need to define a list that consists of	text
cbb356c599	1	78	#/texts/78	ServedEntityInput	code
c84616f681	1	79	#/texts/79	. If we want to serve a model, we'll need to provi	text
00d7d50fcc	1	80	#/texts/80	entity_name	list_item
03b830cdeb	1	81	#/texts/81		list_item
507bd5b4a4	1	82	#/texts/82	This is the full name of the model in the followin	text
53d39ada18	1	83	#/texts/83	{	code
5201a64d47	1	84	#/texts/84	catalog_name	code
90405253b8	1	85	#/texts/85	}.{	code
4197517df7	1	86	#/texts/86	schema_name	code
718f7b9cd6	1	87	#/texts/87	}.{	code
638010a1e9	1	88	#/texts/88	model_name	code
c06733ab82	1	89	#/texts/89	}	code
36fdb66838	1	90	#/texts/90	.	text
918bc12ebc	1	91	#/texts/91	entity_version	list_item
1a87e06415	1	92	#/texts/92	This is the specific version of the model to serve	list_item
92a523f0aa	1	93	#/texts/93	environment_vars	list_item
0333606894	1	94	#/texts/94		list_item
5154956c68	1	95	#/texts/95	This is optional, but it's useful, for example, if	text
8957773d48	1	96	#/texts/96	Chapter 9	text
0c4ac62db1	1	97	#/texts/97	.	text
53c258975a	1	98	#/texts/98	workload_type	list_item
5b65b271a6	1	99	#/texts/99	The default is a CPU, but various graphics process	list_item
81120be120	1	100	#/texts/100	scale_to_zero_enabled	list_item
5cbaec24c0	1	101	#/texts/101		list_item
c3ce40aa8b	1	102	#/texts/102	This controls whether the compute resources should	text
07c7188e5f	1	103	#/texts/103	True	code
d882c02163	1	104	#/texts/104	for development and	text
db52726e1e	1	105	#/texts/105	False	code
670f2aebc9	1	106	#/texts/106	for production, due to a cold-start problem.	text
05c6eacd77	1	107	#/texts/107	Concurrency settings	list_item
c8b7d7a486	1	108	#/texts/108		list_item
d0af010ccc	1	109	#/texts/109	You must define autoscaling ranges by specifying e	text
901a2d26c8	1	110	#/texts/110	workload_size	code
0b6dbc403b	1	111	#/texts/111	(e.g., Small, Medium, Large) or by setting	text
64ef46cc4a	1	112	#/texts/112	min_provisioned_concurrency	code
69e2e6a948	1	113	#/texts/113	and	text
dd981a91d2	1	114	#/texts/114	max_provisioned_concurrency	code
c9f0d124f4	1	115	#/texts/115	.	text
2ac250c3fd	1	116	#/texts/116	In the following example, we'll use some of these 	text
ebc1b21f8e	1	117	#/texts/117	from databricks.sdk.service.serving import ServedE	code
0e43058b8d	1	118	#/texts/118		code
6a73e42446	1	119	#/texts/119	served_entities = [ ServedEntityInput ( entity_nam	code
ba5e6f977b	1	120	#/texts/120		code
bcf40fefc0	1	121	#/texts/121	]	code
49b3dd867e	1	122	#/texts/122	Now, let's talk about autoscaling:	text
128fe09111	1	123	#/texts/123	A single unit of provisioned concurrency can proce	list_item
a82098add5	1	124	#/texts/124	The workload size corresponds to a range of provis	list_item
a8e6f1d491	1	125	#/texts/125		list_item
9a97bab406	1	126	#/texts/126	Autoscaling is based on the number of required uni	text
7e76dc9c3a	1	127	#/texts/127	queries per second	text
095c7b9253	1	128	#/texts/128	\u00d7	text
72760aeb6b	1	129	#/texts/129	model processing time	text
0f99422c64	1	130	#/texts/130	.	text
1e645e110b	1	131	#/texts/131	Let's look at an example. Imagine your service nee	text
f24ecd50e0	1	132	#/texts/132	Endpoint Deployment	section_header
7c6c1f7c59	1	133	#/texts/133	Let's deploy an endpoint using Databricks SDK. Whe	text
0ca6bc4bde	1	134	#/texts/134	Cost monitoring	list_item
4747fa4089	1	135	#/texts/135	We can add tags or a usage policy ID to monitor th	list_item
023da6b5f6	1	136	#/texts/136	Route optimization	list_item
d5948cc70d	1	137	#/texts/137	When this is enabled, a unique, optimized URL is c	list_item
f5242d2403	1	138	#/texts/138	Databricks Unity AI Gateway configuration	list_item
5c663594e8	1	139	#/texts/139	AI Gateway allows you to enable the following:	list_item
99bf325e51	1	140	#/texts/140	Fallback to another served entity if a served enti	list_item
4bd5195c56	1	141	#/texts/141		list_item
b28fcad20f	1	142	#/texts/142	AI guardrails for foundation model APIs, to preven	text
447f69da4e	1	143	#/texts/143	Chapter 9	text
5d3576d2c5	1	144	#/texts/144	)	text
f9fcc2f0f1	1	145	#/texts/145	An inference table for logging all requests and re	list_item
f07207428c	1	146	#/texts/146	Rate limits that you can set to limit endpoint tra	list_item
e55201c5df	1	147	#/texts/147	Usage tracking in system tables, to monitor operat	list_item
17753e3ebf	1	148	#/texts/148	Here, we'll enable usage tracking and the inferenc	text
c0030ff314	1	149	#/texts/149	from databricks.sdk.service.serving import ( AiGat	code
9bc5a3f6e6	1	150	#/texts/150		code
f97aea4f8c	1	151	#/texts/151	)	code
2d7e94e9a5	1	152	#/texts/152		code
e4bb9ee1d1	1	153	#/texts/153	ai_gateway_cfg = AiGatewayConfig ( inference_table	code
55a4c6ba57	1	154	#/texts/154	Next, we either create a new endpoint or update an	text
ce1701cd4c	1	155	#/texts/155	TrafficConfig	code
dcc4e32dd1	1	156	#/texts/156	. In this example, we route 100% of the traffic to	text
6284e86baf	1	157	#/texts/157	Finally, we specify the usage policy ID defined in	text
a3dffe1cbc	1	158	#/texts/158	project_config.yml	text
55e3444174	1	159	#/texts/159	file, which allows us to track and attribute proje	text
fa3e10485f	1	160	#/texts/160	from databricks.sdk import WorkspaceClient	code
97ccf714b7	1	161	#/texts/161		code
2fca34963d	1	162	#/texts/162	from databricks.sdk.service.serving import ( Endpo	code
2aa8756c30	1	163	#/texts/163		code
0e7f893208	1	164	#/texts/164	)	code
189d6f65b8	1	165	#/texts/165		code
23976270d2	1	166	#/texts/166	w = WorkspaceClient ()	code
94d57bffd8	1	167	#/texts/167		code
22f2733cf8	1	168	#/texts/168	endpoint_name = \"hotel-booking-pyfunc\"	code
e836426195	1	169	#/texts/169		code
4707ba12a6	1	170	#/texts/170	endpoint_exists = any ( item . name == endpoint_na	code
7857b765c9	1	171	#/texts/171		code
b4cdfd334b	1	172	#/texts/172	)	code
6b0404ad64	1	173	#/texts/173		code
370a63ed3f	1	174	#/texts/174	traffic_config = TrafficConfig ( routes = [ Route 	code
54c4583e18	1	175	#/texts/175		code
76fa6f9a73	1	176	#/texts/176	if not endpoint_exists : w . serving_endpoints . c	code
069e8ebc03	1	177	#/texts/177		code
09a941a550	1	178	#/texts/178	else : w . serving_endpoints . update_config ( nam	code
82d2d2d35d	1	179	#/texts/179	Make sure the endpoint is ready before sending req	text
dbca5d00af	1	180	#/texts/180	workspace.serving_endpoints.get(name=endpoint_name	code
b68a96af05	1	181	#/texts/181	. Alternatively, instead of the	text
8b9e1e97ce	1	182	#/texts/182	create()	code
fa651ffe62	1	183	#/texts/183	and	text
d97c93a0eb	1	184	#/texts/184	update_config()	code
875968f00f	1	185	#/texts/185	methods, you can use	text
e4d95a7ac4	1	186	#/texts/186	create_and_wait()	code
ba0f3999b5	1	187	#/texts/187	and	text
b5c9806ae0	1	188	#/texts/188	update_config_and_wait()	code
2c4ca7c6d7	1	189	#/texts/189	, which block until the operation completes and th	text
ba337acb40	1	190	#/texts/190	Once the endpoint is deployed and ready, you can s	text
0c90c5bf40	1	191	#/texts/191	dataframe_split	code
fe454c2ded	1	192	#/texts/192	or the	text
20ee83563f	1	193	#/texts/193	dataframe_records	code
abd71f1d61	1	194	#/texts/194	format, with	text
870b3223ff	1	195	#/texts/195	dataframe_split	code
d8e9a94ab8	1	196	#/texts/196	generally being the recommended option because it 	text
b57cf731f9	1	197	#/texts/197	Table 4-1	text
2ec76c6a79	1	198	#/texts/198	).	text
bf5128169a	1	199	#/tables/0	| Field               | Description               	table
fc3e0bdf5f	1	200	#/texts/199	dataframe_split	code
5a9a365d6c	1	201	#/texts/200	{\"dataframe_split\": pandas_df.to_dict(orient=\"spli	code
64901efc70	1	202	#/texts/201	dataframe_records	code
77984a3af4	1	203	#/texts/202	{\"dataframe_records\": pandas_df.to_dict(orient=\"re	code
16ae4910cd	1	204	#/texts/203	instances	code
37489a19cc	1	205	#/texts/204	{\"instances\": [1.0, 2.0, 5.0]}	code
591d4a24df	1	206	#/texts/205	inputs	code
4fb8fa8d27	1	207	#/texts/206	{\"inputs\": [[\"Cheese\"], [\"and\", \"Crackers\"]]}	code
a8f39251a3	1	208	#/texts/207	Before we can send any requests, we need to authen	text
e05ca4663d	1	209	#/texts/208	notebooks/chapter4_1.model_serving.py	text
7e9e8fd4ac	1	210	#/texts/209	file, we can retrieve a personal access token and 	text
a56f1d2c74	1	211	#/texts/210	host = w . config . host	code
13c6c35d87	1	212	#/texts/211		code
7e1e4d7f1e	1	213	#/texts/212	token = w . tokens . create ( lifetime_seconds = 1	code
dd38d378ad	1	214	#/texts/213	You should not use personal access tokens for a pr	text
eec0bfd35e	1	215	#/texts/214	When calling the endpoint, we can provide the payl	text
08f431e55f	1	216	#/texts/215	dataframe_records	code
9e09e17c05	1	217	#/texts/216	and	text
b265a41b3d	1	218	#/texts/217	dataframe_split	code
4ad6c17e3e	1	219	#/texts/218	:	text
9bcd533105	1	220	#/texts/219	payload = { \"dataframe_records\" : [{ 'number_of_ad	code
b6893f9ab6	1	221	#/texts/220		code
94f8201bb7	1	222	#/texts/221	}	code
2781034f9b	1	223	#/texts/222		code
072f1ba744	1	224	#/texts/223	payload = { \"dataframe_split\" : { 'columns' : [ 'n	code
c92f9dee55	1	225	#/texts/224		code
353a424c7b	1	226	#/texts/225	}	code
ed1fc539b6	1	227	#/texts/226	Then, we can use the	text
12ab77ea97	1	228	#/texts/227	requests	code
a8b953fb80	1	229	#/texts/228	library to call the endpoint:	text
5ed516f50a	1	230	#/texts/229	import requests	code
a27fa50c36	1	231	#/texts/230		code
d51e2c1c96	1	232	#/texts/231	serving_endpoint = f \" { host } /serving-endpoints	code
555984ad9e	1	233	#/texts/232		code
48ad57ef8d	1	234	#/texts/233	response = requests . post ( serving_endpoint , he	code
21ae2b205d	1	235	#/texts/234		code
05a7a8df4d	1	236	#/texts/235	)	code
a8fabc3136	1	237	#/texts/236	The output contains the	text
70d7c6d302	1	238	#/texts/237	\"predictions\"	code
d7d032c5f5	1	239	#/texts/238	key, and the content is defined by the PyFunc wrap	text
8623453625	1	240	#/texts/239	{ \"predictions\" : { \"Total price per night\" : [ 10	code
5b0db655d7	1	241	#/texts/240	Deploying a model without proper validation can le	text
cbfb857b7a	1	242	#/texts/241	Databricks also supports	text
173fcace74	1	243	#/texts/242	express deployments	text
ae04278197	1	244	#/texts/243	, which significantly speed up the deployment proc	text
223106ca0b	1	245	#/texts/244	serverless environment	text
f5fe954d81	1	246	#/texts/245	. You must log and register the model from a serve	text
618e3ae62a	1	247	#/texts/246	A/B Testing	section_header
ddb15afdaf	1	248	#/texts/247	In the section	text
2498cf885a	1	249	#/texts/248	\"Endpoint Deployment\"	text
833076734e	1	250	#/texts/249	, we configured an endpoint with a	text
616f8bc75d	1	251	#/texts/250	TrafficConfig	code
df44559d01	1	252	#/texts/251	and routed all of its traffic to a single model. W	text
3dd0709c4a	1	253	#/texts/252	The defining property of a traffic split is that m	text
3af5240269	1	254	#/texts/253	The alternative is to derive the assignment from a	text
7ecd3691f1	1	255	#/texts/254	Choosing a routing strategy	section_header
6b52bccda7	1	256	#/texts/255	The rule for this is simple: randomize at the same	text
5fa9e2d320	1	257	#/texts/256	The experimentation literature distinguishes betwe	text
8638bcb365	1	258	#/texts/257	1	text
68510f8b93	1	259	#/texts/258	The	text
de76bc5a40	1	260	#/texts/259	randomization unit	text
6b5c60c119	1	261	#/texts/260	is the entity assigned to a model. The	text
4d12720c75	1	262	#/texts/261	analysis unit	text
115b50ef1d	1	263	#/texts/262	is the entity on which the outcome is measured. In	text
e2017b0de7	1	264	#/texts/263	Let's discuss what randomization unit to choose in	text
683a79e8bd	1	265	#/texts/264	Randomization by customer	section_header
cb77da6c17	1	266	#/texts/265	Most experiments do this because most business out	text
872cc12a71	1	267	#/texts/266	Session-level assignment	section_header
3d9635987f	1	268	#/texts/267	This is the middle-of-the-road approach. Use it wh	text
b8b0852215	1	269	#/texts/268	Request-level assignment	section_header
d44caef114	1	270	#/texts/269	This is appropriate only when requests are genuine	text
a230d38748	1	271	#/texts/270	A useful test involves asking what entity appears 	text
1e95479475	1	272	#/texts/271	Moving assignment into the model logic	section_header
3af1392862	1	273	#/texts/272	So far, we have shown you how you could configure 	text
825128dbae	1	274	#/texts/273	Now, consider an experiment in which the booking i	text
994725f7ab	1	275	#/texts/274	We will use the model we trained in the previous c	text
1e23a5f071	1	276	#/texts/275	from hotel_booking.config import ProjectConfig	code
6f1597fcf7	1	277	#/texts/276		code
4b10cc2f75	1	278	#/texts/277	cfg = ProjectConfig . from_yaml ( config_path = \".	code
58b21f96d6	1	279	#/texts/278		code
4b731b9f22	1	280	#/texts/279	model_name_a = f \" { cfg . catalog } . { cfg . sch	code
87f8f40a88	1	281	#/texts/280		code
ecc0743555	1	282	#/texts/281	model_a_uri = f \"models:/ { model_name_a } @latest	code
49670a544d	1	283	#/texts/282	Next, we train a second variant with a different s	text
17c9550cc9	1	284	#/texts/283	from pyspark.sql import SparkSession	code
82bfa7904d	1	285	#/texts/284		code
6c870d209f	1	286	#/texts/285	from hotel_booking.data.data_loader import DataLoa	code
724359d647	1	287	#/texts/286		code
cdb75e4b28	1	288	#/texts/287	from hotel_booking.models.lightgbm_model import Li	code
97c3400a57	1	289	#/texts/288		code
d481ee7419	1	290	#/texts/289	spark = SparkSession . builder . getOrCreate ()	code
17a5eac427	1	291	#/texts/290		code
acbf7ec11c	1	292	#/texts/291	data_loader = DataLoader ( spark = spark , config 	code
23c0a3facc	1	293	#/texts/292		code
411f0bd74b	1	294	#/texts/293	X_train , y_train , X_test , y_test = data_loader 	code
9b5cbbf6b1	1	295	#/texts/294		code
6ac1cf8416	1	296	#/texts/295	model_b = LightGBMModel ( config = cfg )	code
14a96dc474	1	297	#/texts/296		code
0d7d0a79f9	1	298	#/texts/297	model_b . train ( X_train = X_train , y_train = y_	code
cf6299c4a3	1	299	#/texts/298		code
fc90e54b7a	1	300	#/texts/299	)	code
a8fef7dda3	1	301	#/texts/300	Then, we log and register variant B:	text
101cd7f31a	1	302	#/texts/301	from hotel_booking.config import Tags	code
4d0cbf2a39	1	303	#/texts/302		code
4d65b7424f	1	304	#/texts/303	from hotel_booking.utils.common import set_mlflow_	code
a4621d9d20	1	305	#/texts/304		code
14990938d8	1	306	#/texts/305	set_mlflow_tracking_uri ()	code
7d516ad62e	1	307	#/texts/306		code
693bc6c6d1	1	308	#/texts/307	tags = Tags ( ** { \"git_sha\" : \"1234567890abcd\" , 	code
198ef037bb	1	309	#/texts/308		code
e213b72ffe	1	310	#/texts/309	model_b . log_model ( experiment_name = \"/Shared/h	code
d989c299a9	1	311	#/texts/310		code
4958ead506	1	312	#/texts/311	)	code
02f2d8b9d3	1	313	#/texts/312		code
c2d064b7d6	1	314	#/texts/313	model_name_b = f \" { cfg . catalog } . { cfg . sch	code
b3fd694f7a	1	315	#/texts/314		code
3926e82972	1	316	#/texts/315	model_b . register_model ( model_name = model_name	code
334d33dc2c	1	317	#/texts/316		code
50a8afc0fe	1	318	#/texts/317	model_b_uri = f \"models:/ { model_name_b } @latest	code
5ac83ed8fa	1	319	#/texts/318	Now, we create a wrapper model that contains the a	text
a29c9430b2	1	320	#/texts/319	hashlib	code
