element_id	page_no	position_in_page	self_ref	text50	label
6ca493f5b0	1	0	#/texts/0	Chapter 9. Deploying in Monitoring LLM-Based Syste	title
a6dee9efa2	1	1	#/texts/1	In this chapter, we explore how to deploy an agent	text
bbbdd79e80	1	2	#/texts/2	Many agent use cases are naturally batch oriented.	text
58e97057e0	1	3	#/texts/3	Another pattern is embedding the agent directly in	text
5c23da410b	1	4	#/texts/4	A more robust, production-ready approach is to dep	text
356734fd69	1	5	#/texts/5	In this chapter, we follow this approach and deplo	text
a5f51660d6	1	6	#/texts/6	Deploying a Databricks Model Serving Endpoint	title
2372c0d902	1	7	#/texts/7	In	text
1380a185a6	1	8	#/texts/8	Chapter 4	text
1790979992	1	9	#/texts/9	, we deployed several Model Serving endpoints usin	text
dabf86e8c4	1	10	#/texts/10	additional setup	text
5632355ec3	1	11	#/texts/11	, such as provisioning a service principal with ac	text
72b949921d	1	12	#/texts/12	DATABRICKS_CLIENT_ID	code
6b06f699cd	1	13	#/texts/13	,	text
49d5b7041c	1	14	#/texts/14	DATABRICKS_CLIENT_SECRET	code
1de1fee2f8	1	15	#/texts/15	, and	text
e46df1382b	1	16	#/texts/16	DATABRICKS_HOST	code
7ddeb19c27	1	17	#/texts/17	) for authentication. This can conflict with the r	text
c6deb1f664	1	18	#/texts/18	To avoid this, we'll use the	text
8def9e62c9	1	19	#/texts/19	Databricks agent framework	text
0a375e8e92	1	20	#/texts/20	. It handles deployment, tracing, and authenticati	text
52095623c2	1	21	#/texts/21	Unity AI Gateway and Guardrails	section_header
26f69d8c87	1	22	#/texts/22	The agent framework enables the inference table as	text
eb1818873a	1	23	#/texts/23	Databricks documentation	text
c9a87a9442	1	24	#/texts/24	for the latest updates.	text
39180c72f5	1	25	#/texts/25	Table 9-1	text
5144396226	1	26	#/texts/26	summarizes the AI gateway features that are curren	text
dbc20df7be	1	27	#/tables/0	| Feature                          | External mode	table
9d3d92fb95	1	28	#/texts/27	Custom model endpoint:	text
2b61fa3e31	1	29	#/texts/28	mlflow.pyfunc. PythonModel	text
00be0ed7cc	1	30	#/texts/29	AI agent endpoint:	text
b3f009f20d	1	31	#/texts/30	mlflow.pyfunc. ResponsesAgent	text
16f716a986	1	32	#/texts/31	Permission and rate limiting	text
707a30bb7a	1	33	#/texts/32	Not supported	text
aa2e6cf9fe	1	34	#/texts/33	Payload logging	text
23002445c3	1	35	#/texts/34	Usage tracking	text
7a612c3ff8	1	36	#/texts/35	Not supported	text
0880732ede	1	37	#/texts/36	AI Guardrails	text
78385c3a80	1	38	#/texts/37	Not supported	text
6eee91187b	1	39	#/texts/38	Not supported	text
15c822b11b	1	40	#/texts/39	Fallbacks	text
40aecbf892	1	41	#/texts/40	Not supported	text
ba85aa2d94	1	42	#/texts/41	Not supported	text
8d56a2c558	1	43	#/texts/42	Not supported	text
d74f6d53b6	1	44	#/texts/43	Not supported	text
1951f807e5	1	45	#/texts/44	Traffic splitting	text
a40e16d18d	1	46	#/texts/45	Not supported	text
51f7b5fffc	1	47	#/texts/46	Not supported	text
745f52a969	1	48	#/texts/47	Guardrails on the LLM level	section_header
d37dfa6268	1	49	#/texts/48	It is worth noting that when we're deploying an AI	text
f249055244	1	50	#/texts/49	In our case, we use the Databricks-hosted	text
8e826608da	1	51	#/texts/50	gpt-oss-120b	code
347d6a025e	1	52	#/texts/51	model. On top of it, we can enable guardrails for 	text
86c291737c	1	53	#/texts/52	Figure 9-1	text
0bc0532ef5	1	54	#/texts/53	).	text
2c8fa2ec93	1	55	#/texts/54	1	text
b8ca32c221	1	56	#/pictures/0	Settings interface for creating custom guardrails 	picture
a9759b904b	1	57	#/texts/56	Each guardrail can run in enforce or log mode. In	text
70e22684e3	1	58	#/texts/57	enforce mode,	text
be9012b39f	1	59	#/texts/58	the guardrail acts on a violation: it blocks the r	text
d57578e32d	1	60	#/texts/59	log mode	text
fd9f8fa574	1	61	#/texts/60	, it takes no action and only records that the vio	text
91681e0fa9	1	62	#/texts/61	While these guardrails operate at the model level 	text
1b806b5fcf	1	63	#/texts/62	Guardrails as part of the agent logic	section_header
de25e00d48	1	64	#/texts/63	It's also worth noting that guardrails can (and sh	text
0eb1bc0d12	1	65	#/texts/64	mlflow.genai.evaluate()	code
c77f6de7a8	1	66	#/texts/65	to enforce domain constraints.	text
6fe120f081	1	67	#/texts/66	MLflow also supports	text
62422750fe	1	68	#/texts/67	Guardrails AI scorers	text
f6cf14abdf	1	69	#/texts/68	.	text
9195f652db	1	70	#/texts/69	Guardrails AI	text
8f02c945dd	1	71	#/texts/70	provides a wide range of validators for safety, PI	text
709cba08ff	1	72	#/texts/71	not always LLM-based	text
0a2bba919d	1	73	#/texts/72	-many rely on rule-based approaches such as regex 	text
8108733b7e	1	74	#/texts/73	MLflow includes the following built-in validators:	text
50bea78f5c	1	75	#/texts/74	2	text
19b936d5a5	1	76	#/texts/75	ToxicLanguage	list_item
2dfab9ddbe	1	77	#/texts/76	This detects whether the output contains toxic or 	list_item
7e7a49ab0a	1	78	#/texts/77	NSFWText	list_item
ab8967a333	1	79	#/texts/78	This flags explicit or not-safe-for-work content.	list_item
1cbc65ac9c	1	80	#/texts/79	DetectJailbreak	list_item
c7fd504979	1	81	#/texts/80	This identifies jailbreak or prompt injection atte	list_item
1af741cefa	1	82	#/texts/81	DetectPII	list_item
1717eee79b	1	83	#/texts/82	This checks for personally identifiable informatio	list_item
8c5928c5a6	1	84	#/texts/83	SecretsPresent	list_item
b7e5f9f54c	1	85	#/texts/84	This detects API keys, tokens, and other sensitive	list_item
0f48ab4963	1	86	#/texts/85	GibberishText	list_item
8f8ca172e3	1	87	#/texts/86	This identifies nonsensical and low-quality text.	list_item
b45db53426	1	88	#/texts/87	Here, for example, is how you can apply some of th	text
1b64f35a39	1	89	#/texts/88	import mlflow	code
73dd193c2c	1	90	#/texts/89		code
beeafcd02b	1	91	#/texts/90	from mlflow.genai.scorers.guardrails import ToxicL	code
766444d4b0	1	92	#/texts/91		code
b8624a06dc	1	93	#/texts/92	eval_dataset = [ { \"inputs\" : { \"query\" : \"How do 	code
3852960dbf	1	94	#/texts/93		code
6ed1a274d7	1	95	#/texts/94	]	code
0d6ec994a4	1	96	#/texts/95		code
17784ff6b0	1	97	#/texts/96	results = mlflow . genai . evaluate ( data = eval_	code
8954543aea	1	98	#/texts/97		code
7237c41877	1	99	#/texts/98	)	code
a855648bbb	1	100	#/texts/99	Implementing deployment	section_header
67b7003a64	1	101	#/texts/100	The	text
0341b053b9	1	102	#/texts/101	chapter9_2.deploy_agent.py	text
c8af73658e	1	103	#/texts/102	notebook demonstrates how to deploy the agent usin	text
7406b81674	1	104	#/texts/103	latest-model	code
e273807564	1	105	#/texts/104	alias from MLflow. We then pass this version to th	text
b62b7e251b	1	106	#/texts/105	agents.deploy	code
3420d4cf4e	1	107	#/texts/106	function, along with the endpoint configuration an	text
40f24b3b18	1	108	#/texts/107	These environment variables include	text
8e6851241c	1	109	#/texts/108	git_sha	code
f85671bf07	1	110	#/texts/109	,	text
a8c7cace2e	1	111	#/texts/110	model_version	code
83ebffbcc5	1	112	#/texts/111	, and	text
ff441aac26	1	113	#/texts/112	endpoint_name	code
b0ac46176f	1	114	#/texts/113	, which are attached to MLflow traces for observab	text
594ca3b3d2	1	115	#/texts/114	git_sha	code
6d744a2390	1	116	#/texts/115	is hard-coded, but in practice, it would be inject	text
1e6899ea31	1	117	#/texts/116	from databricks import agents	code
6711f4f068	1	118	#/texts/117		code
130b3f8ad5	1	119	#/texts/118	from databricks.sdk import WorkspaceClient	code
17a272203e	1	120	#/texts/119		code
0a552ea32c	1	121	#/texts/120	from mlflow import MlflowClient	code
2fef6ee5bc	1	122	#/texts/121		code
