element_id	page_no	position_in_page	self_ref	text50	label
ba34ec082b	1	0	#/texts/0	Chapter 7. Advanced Agents and Tools	title
c01ca99ecd	1	1	#/texts/1	In the previous chapters, we worked with a simple 	text
3014927c31	1	2	#/texts/2	AI agents	text
53bffca1a8	1	3	#/texts/3	, represent a major shift in GenAI application dev	text
7d9ddbe5e1	1	4	#/texts/4	The rapid adoption of agents has made it one of th	text
097d272bcd	1	5	#/texts/5	This chapter delves further into agents to help ou	text
1f7b211c8d	1	6	#/texts/6	Developing Agents with MLflow	title
80ba9b7fb9	1	7	#/texts/7	As we've covered throughout the book, MLflow 3.x i	text
4479516e33	1	8	#/texts/8	What Are Agents, AI Agents, and Agentic AI?	section_header
246bb95f16	1	9	#/texts/9	An	text
8322fc7348	1	10	#/texts/10	agent	text
47bba19790	1	11	#/texts/11	is usually referred to as a system that can choose	text
cd239792c3	1	12	#/texts/12	Today,	text
1370897221	1	13	#/texts/13	AI agents	text
4c9fb91215	1	14	#/texts/14	infused with an LLM are more advanced systems that	text
3ae4c109d8	1	15	#/texts/15	In a step further, these systems can be evolved in	text
1b6e06ea78	1	16	#/texts/16	agentic AI	text
7efa60552c	1	17	#/texts/17	systems, where the supervisor can choose between m	text
f260623876	1	18	#/texts/18	Figure 7-1	text
ff13e1bc94	1	19	#/texts/19	illustrates some examples of these three types of 	text
8164e4064c	1	20	#/pictures/0	Diagram showing how traditional agents, AI agents,	picture
a0e67a3af9	1	21	#/texts/21	As we progress in this example, we can see that th	text
c339513add	1	22	#/texts/22	Warning	section_header
303533891e	1	23	#/texts/23	AI agents and agentic AI systems are more flexible	text
60587ea7ae	1	24	#/texts/24	It's important to consider your needs for a specif	text
089f94cfec	1	25	#/texts/25	Table 7-1	text
747329c0e8	1	26	#/texts/26	for more details on how to determine what is the b	text
0d5e8808ae	1	27	#/tables/0	| Features                | Agents                	table
9c4c151a5a	1	28	#/texts/27	Integration on MLflow	section_header
c155de7f2f	1	29	#/texts/28	GenAI development relies on libraries and framewor	text
061a2796eb	1	30	#/texts/29	MLflow 3.x integrates with many popular libraries 	text
c22e8bad4c	1	31	#/texts/30	MLflow documentation	text
8fa3b313e8	1	32	#/texts/31	.	text
051d238ef8	1	33	#/texts/32	On top of that, most of these orchestration packag	text
09483c50c8	1	34	#/texts/33	databricks-langchain	code
baa58d31c8	1	35	#/texts/34	package to use a large language model provided by 	text
29552b3f03	1	36	#/texts/35	These packages are great tools that are used widel	text
08ef0abc50	1	37	#/texts/36	For debugging and iterating on agent prompts	list_item
ff501673be	1	38	#/texts/37		list_item
18bdb335bc	1	39	#/texts/38	Whether you build LangGraph agents or DSPy models,	text
27e2309986	1	40	#/texts/39	Chapter 5	text
50fd49a1b7	1	41	#/texts/40	, is an asset in speeding up development and ident	text
7a89b2cb6a	1	42	#/texts/41	For scaling agent evaluation	list_item
4a34d718c0	1	43	#/texts/42	MLflow helps evaluate the different layers of agen	list_item
8af6eeef05	1	44	#/texts/43	MLflow AI Gateway Interface for LLM Integration	section_header
fef6b4e72d	1	45	#/texts/44	As the number of available LLMs increases by the d	text
9423dc4958	1	46	#/texts/45	When using these different providers, another capa	text
9ebbb4892b	1	47	#/texts/46	MLflow AI Gateway is a centralized service that pr	text
5e8813f375	1	48	#/texts/47	Figure 7-2	text
1a03c9759a	1	49	#/texts/48	illustrates this. This simplifies secrets manageme	text
9ed2797715	1	50	#/texts/49	Following the same concept, Databricks offers Unit	text
0cbd48bade	1	51	#/pictures/1	Diagram showing how an AI Gateway connects a user 	picture
5df3694b2c	1	52	#/texts/51	On top of the developers benefits of swapping mode	text
dbd99427ba	1	53	#/texts/52	Now that we've discussed agents and MLflow integra	text
26766edb22	1	54	#/texts/53	For example, our unity Airways AI agent should be 	text
eb99d6f1dc	1	55	#/texts/54		list_item
65fecf47bd	1	56	#/texts/55	Answer frequently asked questions (as the example 	text
000c8f5ea0	1	57	#/texts/56	Chapter 4	text
78463e68b9	1	58	#/texts/57	).	text
647d1ce4a7	1	59	#/texts/58	Check user information and latest booking records 	list_item
0eda96c7ac	1	60	#/texts/59	Retrieve real-time weather forecasts to alert on p	list_item
a1de44f47b	1	61	#/texts/20	Diagram showing how traditional agents, AI agents,	caption
1e33c5d230	1	62	#/texts/50	Diagram showing how an AI Gateway connects a user 	caption
2697e15fcd	1	63	#/texts/60	Creating Tools	title
ba340edf28	1	64	#/texts/61	Tools let our agent do more than just respond to a	text
76b15bde13	1	65	#/texts/62	Knowledge and database tools	list_item
9b9ed4b346	1	66	#/texts/63	These tools include connectors to query knowledge 	list_item
ac55a72501	1	67	#/texts/64	API-based tools	list_item
b93286b1d3	1	68	#/texts/65	These tools facilitate web searches, weather forec	list_item
ffb770f951	1	69	#/texts/66	Code execution tools	list_item
3c5903ccd9	1	70	#/texts/67	These tools enable dynamic code execution in vario	list_item
b17fdb5749	1	71	#/texts/68	Skills	list_item
fbc756d4ff	1	72	#/texts/69	While not technically tools themselves, skills hel	list_item
154601c12d	1	73	#/texts/70	MCP servers for platform integration	list_item
5c4e9662a4	1	74	#/texts/71	Often designed and offered by the platform itself,	list_item
ee46b9825b	1	75	#/texts/72	These tools can be developed in many ways, by simp	text
a0e4f1a2dd	1	76	#/texts/73	While both approaches allow agents to interact wit	text
53bafd7318	1	77	#/texts/74	Table 7-2	text
da78039122	1	78	#/texts/75	compares MCP servers and framework-specific Python	text
834324edc5	1	79	#/tables/1	| Tool type                  | MCP server         	table
3b4bc68cf9	1	80	#/texts/76	MCP server	text
489cd2edf3	1	81	#/texts/77	Other Python package Tool\n(e.g., LangChain)	text
330066d31b	1	82	#/texts/78	Code directly in the application.	text
7ea7f7078b	1	83	#/texts/79	Directly in-process with your agent, which makes f	text
6e3cb52e2c	1	84	#/texts/80	Essentially, we recommend using an MCP server when	text
3934329d1f	1	85	#/texts/81	Now that we've seen the difference between MCP-bas	text
0c7fe15ed9	1	86	#/texts/82	Vector Retriever Tool	section_header
73efe5b8ac	1	87	#/texts/83	As we've seen in earlier chapters, vector database	text
15b2a50f29	1	88	#/texts/84	To do that, we're using the class	text
74bef81d14	1	89	#/texts/85	VectorSearchRetrieverTool	code
480492bd87	1	90	#/texts/86	from the package	text
2d40e490f1	1	91	#/texts/87	databricks_langchain	code
de631d30a7	1	92	#/texts/88	. This package contains various integrations to co	text
5ae9edcd8d	1	93	#/texts/89	from databricks_langchain import VectorSearchRetri	code
7b21561afa	1	94	#/texts/90	This code creates a search tool that connects to o	text
272736f121	1	95	#/texts/91	index_name	code
f762693847	1	96	#/texts/92	points to our FAQ data index name, deployed on Dat	text
eb635e4e7c	1	97	#/texts/93	num_results=5	code
b489de1d3b	1	98	#/texts/94	means it will return the top five most similar ans	text
2b6ce4ccf1	1	99	#/texts/95	tool_description	code
b89b798f58	1	100	#/texts/96	tells our agent what this tool is good for.	text
ed33dec504	1	101	#/texts/97	tool_description	code
c52db7bfaf	1	102	#/texts/98	must be as clear as possible, by describing what t	text
a2191305ff	1	103	#/texts/99	This is where clear naming and descriptions matter	text
4d11a0b908	1	104	#/texts/100	Now, let's call our tool with a query:	text
42a7cabe09	1	105	#/texts/101	results = vector_retriever_tool.invoke({\n   \"query	code
7bb700989f	1	106	#/texts/102	As queried, this returns the five most relevant do	text
b3fe929698	1	107	#/texts/103	Figure 7-3	text
63b2ac28d6	1	108	#/texts/104	illustrates.	text
6e3d3489b8	1	109	#/pictures/2	MLflow Trace UI showing a query about battery pack	picture
6647b969d5	1	110	#/texts/106	Structured Data Lookup Tool	section_header
e3db87e49b	1	111	#/texts/107	For querying structured data like customer booking	text
6022e86b82	1	112	#/texts/108	Let's create a function to query specific customer	text
d508f3945c	1	113	#/texts/109	CREATE OR REPLACE FUNCTION workspace.unity_airways	code
d8d86652d3	1	114	#/texts/110	We can see that	text
e2303bfd8f	1	115	#/texts/111	user_email	code
f92f6704c6	1	116	#/texts/112	is the input of the function. Again, it's importan	text
cd00006cbb	1	117	#/texts/113	import pandas as pd\nfrom unitycatalog.ai.core.data	code
3bd06b3474	1	118	#/texts/114	Testing this function code calls our lookup functi	text
d2c992ebf4	1	119	#/texts/115	Table 7-3	text
a8d99a7709	1	120	#/texts/116	demonstrates this.	text
0f1e893576	1	121	#/tables/2	| primary_contact_email   |   primary\\_contact\\_ p	table
2ae931516e	1	122	#/texts/117	primary_contact_\nphone_e164	text
5fd4a3b0b8	1	123	#/texts/118	destination_\niata	text
d6fe593c07	1	124	#/texts/119	alex.lim@example.com	text
cdf0da73f9	1	125	#/texts/120	alex.lim@example.com	text
b3ede89d0d	1	126	#/texts/121	alex.lim@example.com	text
c8735816c9	1	127	#/texts/122	alex.lim@example.com	text
e4c19c98ae	1	128	#/texts/123	alex.lim@example.com	text
fb01808034	1	129	#/texts/124	Now, let's wrap this function into a tool. To do t	text
48c046ed45	1	130	#/texts/125	UCFunctionToolkit	code
111c55f838	1	131	#/texts/126	from	text
e837d8b3e8	1	132	#/texts/127	databricks_langchain	code
b19b0155f3	1	133	#/texts/128	. This will integrate the Unity Catalog functions 	text
0bbb264918	1	134	#/texts/129	UCFunctionToolkit	code
bbbee2cf1a	1	135	#/texts/130	actually creates a list of tools (toolkit) by pass	text
5a89cbbd66	1	136	#/texts/131	function_names	code
407fa601d4	1	137	#/texts/132	. This toolkit has multiple tools inside that can 	text
90ab52b8b4	1	138	#/texts/133	from databricks_langchain import UCFunctionToolkit	code
b4d3074572	1	139	#/texts/134	When we invoke the tool, it returns our data rows 	text
1d3dc4e6e5	1	140	#/texts/135	Table 7-3	text
4611c2b0b8	1	141	#/texts/136	) about our customer flights, as expected.	text
aca0e51525	1	142	#/texts/137	Note	section_header
8521e23985	1	143	#/texts/138	Databricks provides managed MCP servers for interf	text
bf05d9ae5b	1	144	#/texts/139	API-Calling Tool	section_header
5a868de95d	1	145	#/texts/140	API-based tools are another type of popular tool, 	text
69e436cee8	1	146	#/texts/141	Open-Meteo	text
27b2c94fec	1	147	#/texts/142	. It will help our AI agent check for weather cons	text
3321d366ab	1	148	#/texts/143	First, we create a	text
a90c1d79d7	1	149	#/texts/144	BaseModel	code
d15c80e900	1	150	#/texts/145	class to formalize our inputs. This helps make the	text
685e564cc9	1	151	#/texts/146	from pydantic import BaseModel\n\nclass Localization	code
9ff71832f1	1	152	#/texts/147	Our next function,	text
fc8812be7d	1	153	#/texts/148	get_weather_forecast	code
e0590c0465	1	154	#/texts/149	, will call the Open-Meteo API with an http reques	text
26001c23c4	1	155	#/texts/150	import openmeteo_requests\n\ndef get_weather_forecas	code
6bfa61670d	1	156	#/texts/151	The code inside the function is quite customizable	text
2340d1026f	1	157	#/texts/152	Tip	section_header
d7dc4ed553	1	158	#/texts/153	While it is not shown in the preceding code exampl	text
6d77884de2	1	159	#/texts/154	In the next step, we wrap this function into a Lan	text
b63c9f070d	1	160	#/texts/155	StructuredTool	code
f711b6d4f8	1	161	#/texts/156	as we've formalized our previous input format in t	text
7100836fbc	1	162	#/texts/157	Localization	code
