element_id	page_no	position_in_page	self_ref	text50	label
086f1173cb	1	0	#/pictures/0	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
355e986561	1	1	#/pictures/1	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
db1c4c44e4	1	2	#/pictures/2	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
dba9adfe11	2	0	#/texts/0	Hands-On RAG for Production	section_header
8f4ebb01b6	2	1	#/texts/1	With Early Release ebooks, you get books in their 	text
cd13d64b50	2	2	#/texts/2	Ofer Mendelevitch and Forrest Bao	text
45ab138a7c	2	3	#/pictures/3	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
a63c34f701	2	4	#/texts/3	OceanofPDF.com	section_header
7323e52027	3	0	#/texts/4	Hands-On RAG for Production	section_header
e541c0113a	3	1	#/texts/5	by Ofer Mendelevitch and Forrest Bao Copyright \u00a9 2	text
098b29d20b	3	2	#/texts/6	Editors: Nicole Butterfield Development Editor: Me	section_header
49e8c9e35d	4	0	#/texts/7	June 2026: First Edition	list_item
9f135752d8	4	1	#/texts/8	Revision History for the Early Release	section_header
0e5306479a	4	2	#/texts/9	2025-05-07: First Release	list_item
62d8eb64ad	4	3	#/texts/10	See http://oreilly.com/catalog/errata.csp?isbn=979	text
bdfc2826a5	5	0	#/texts/11	979-8-341-62166-4 [FILL IN]	text
c63c6ebd87	5	1	#/texts/12	OceanofPDF.com	section_header
9ec97e1b5a	6	0	#/texts/0	Brief Table of Contents ( Not Yet Final )	section_header
a5a2735499	6	1	#/texts/1	Chapter 1: Introduction to Retrieval-Augmented Gen	text
a87f03b8bd	6	2	#/texts/2	OceanofPDF.com	section_header
4b5b556eff	7	0	#/texts/3	Chapter 1. Introduction to Retrieval Augmented Gen	section_header
80a927b529	7	1	#/texts/4	A NOTE FOR EARLY RELEASE READERS	section_header
0c4ac38042	7	2	#/texts/5	With Early Release ebooks, you get books in their 	text
334357516d	7	3	#/texts/6	Large language models (or LLMs) like Anthropic's C	text
db3c741a18	9	0	#/texts/7	How Does RAG Work?	section_header
5b1b94f663	9	1	#/texts/8	As shown in Figure\u00a01-1, RAG has two steps, the R (	text
e46bd919c5	10	0	#/pictures/0	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
ebbbc414fa	10	1	#/texts/9	Figure 1-1. Basic RAG architecture	text
357d0ac106	10	2	#/texts/10	Let's look at an example. Suppose we are using RAG	text
3359febb99	11	0	#/texts/0	'augment') to the prompt of an LLM for generation.	text
28c9319f5b	11	1	#/pictures/0	<!-- \ud83d\uddbc\ufe0f\u274c Image not available. Please use `PdfPipel	picture
c63c68a4b3	11	2	#/texts/7	Thus, we task the LLM with a question-answering ta	text
a1e555dbf8	12	0	#/texts/8	In contrast, in an open-book test, students can co	text
72dec6215f	12	1	#/texts/9	WIth that knowledge in place, let's now go a level	text
d6a15937e8	12	2	#/texts/10	The Blueprint of a RAG Stack	section_header
30fbaab88a	12	3	#/texts/11	Let's look at how RAG works in more detail, and sp	text
a9539d74f4	12	4	#/pictures/1	Figure 1-2. The RAG stack\n\n<!-- \ud83d\uddbc\ufe0f\u274c Image not avai	picture
b782bba279	12	5	#/texts/12	Figure 1-2. The RAG stack	caption
153e96051e	13	0	#/texts/13	The ingest flow performs those functions needed to	text
59f7f30698	13	1	#/texts/14	The Ingest Flow	section_header
6f6bc8440d	13	2	#/texts/15	During data ingestion, the RAG system first conver	text
de158a2da0	14	0	#/texts/16	The Query Flow	section_header
d0b735620a	14	1	#/texts/17	The query flow starts with converting the user que	text
41c689d0e7	15	0	#/texts/18	We're not done yet! After the LLM sends back its r	text
5be4a7d76f	15	1	#/texts/19	RAG vs. Other Approaches	section_header
b80897a071	15	2	#/texts/20	When first entering the world of LLMs and RAG, the	text
6b6edf40e6	16	0	#/texts/0	RAG vs. 'chatting with PDF'	section_header
660236131d	16	1	#/texts/1	You may find that RAG looks similar to 'Chat with 	text
4a275caa00	17	0	#/texts/2	RAG vs. fine-tuning	section_header
a017a9af09	17	1	#/texts/3	Developers building Generative AI that utilize LLM	text
71af4128d7	20	0	#/texts/4	Key Benefits of RAG	section_header
60f0ffda6c	20	1	#/texts/5	So now that you understand how RAG compares to oth	text
02618db9ce	20	2	#/texts/6	RAG is Scalable and Efficient	section_header
