element_id	page_no	position_in_page	self_ref	text50	label
8288122ce6	1	0	#/texts/0	Chapter 5. Machine Learning Model Deployment	title
2f3b37bcb6	1	1	#/texts/1	So far, we've explored the individual stages of bu	text
65236313c8	1	2	#/texts/2	We'll walk through how to structure end-to-end ML 	text
8b512a89db	1	3	#/texts/3	Let's begin with the orchestration of our machine 	text
3a281e0146	1	4	#/texts/4	Chapter 2	text
ddb8eaaa8c	1	5	#/texts/5	, we introduced DABs and examined the structure of	text
5c52125230	1	6	#/texts/6	databricks.yml	text
5c7501e138	1	7	#/texts/7	file. What we have not yet looked at are the resou	text
b193b83e69	1	8	#/texts/8	databricks bundle deploy	code
4b5389fbe5	1	9	#/texts/9	command runs.	text
4a9c69c4c1	1	10	#/texts/10	The	text
ab3a631545	1	11	#/texts/11	resources	text
f87b8f57d6	1	12	#/texts/12	folder is referenced in the bundle definition and 	text
2c5b430392	1	13	#/texts/13	ml_pipeline.yml	list_item
157070980a	1	14	#/texts/14	This is a Lakeflow job that defines the whole ML p	list_item
071e719a23	1	15	#/texts/15	ml_monitoring.yml	list_item
e34f0b244d	1	16	#/texts/16	This is a Lakeflow job that updates the monitoring	list_item
75dc3ddec0	1	17	#/texts/17	alert.yml	list_item
b286f03deb	1	18	#/texts/18	This file contains alert-related resources.	list_item
3d57e8b0d0	1	19	#/texts/19	In this chapter, we focus on the ML pipeline, and 	text
b698c2c83b	1	20	#/texts/20	Chapter 6	text
b9ec82e13c	1	21	#/texts/21	, we'll turn to monitoring and alerting resources.	text
4e8cfb3d19	1	22	#/texts/22	Machine Learning Pipeline	title
bbff056b09	1	23	#/texts/23	Before we examine the structure of the	text
86c5e474fc	1	24	#/texts/24	ml_pipeline.yml	text
2b2008dbdd	1	25	#/texts/25	file, let's clarify the objective. The file contai	text
e01e402834	1	26	#/texts/26	Figure 5-1	text
b2721dc149	1	27	#/texts/27	illustrates the pipeline's architecture, highlight	text
a16c23638c	1	28	#/pictures/0	Diagram of a Lakeflow job structure showing a sequ	picture
7f28b94f53	1	29	#/texts/29	The workflow begins with a preprocessing step that	text
385e011fe4	1	30	#/texts/30	train_model	code
eec382b423	1	31	#/texts/31	task retrains the model, evaluates its performance	text
9389df4b29	1	32	#/texts/32	model_updated	code
497c6594a2	1	33	#/texts/33	and	text
9d9438cd1a	1	34	#/texts/34	model_version	code
92e68c3772	1	35	#/texts/35	.	text
c044878f2d	1	36	#/texts/36	The	text
552aa15680	1	37	#/texts/37	model_updated	code
6d6a23cc73	1	38	#/texts/38	task is an	text
ee54036da0	1	39	#/texts/39	IF	code
4869e807c9	1	40	#/texts/40	task in the Lakeflow job. It checks whether a new 	text
562ecb6e93	1	41	#/texts/41	returns model_updated = 0	code
a3946faedb	1	42	#/texts/42	), the job ends early. If a new model was register	text
5478449757	1	43	#/texts/43	model_updated = 1	code
e88a24bc15	1	44	#/texts/44	), the workflow continues to the	text
63b334f5f8	1	45	#/texts/45	deploy_model	code
93b396715c	1	46	#/texts/46	task, which wraps the model as a PyFunc and deploy	text
1d410e02b7	1	47	#/texts/47	model_version	code
dd87e11060	1	48	#/texts/48	. This setup ensures that only evaluated and impro	text
d911c4a552	1	49	#/texts/49	Each task in the workflow (except the	text
a934ca7bb0	1	50	#/texts/50	IF	code
13eb98a2f1	1	51	#/texts/51	task) runs a Python script that requires specific 	text
936f96de41	1	52	#/texts/52	env	list_item
f3c8e858b4	1	53	#/texts/53		list_item
eecc59d1b1	1	54	#/texts/54	This parameter matches the bundle target (e.g.,	text
631ef7e4cf	1	55	#/texts/55	dev	code
976789803c	1	56	#/texts/56	,	text
5c2b57f38b	1	57	#/texts/57	prd	code
927de933eb	1	58	#/texts/58	).	text
35f1869d5f	1	59	#/texts/59	root_path	list_item
4d4002bd8c	1	60	#/texts/60	This is the root directory of the bundle.	list_item
0eff8ce6fd	1	61	#/texts/61	git_sha and branch	list_item
e98021d711	1	62	#/texts/62	These are variables that are defined in the bundle	list_item
0514e0026f	1	63	#/texts/63	run_id, job_id, and task_name	list_item
6a9feae4a6	1	64	#/texts/64		list_item
e36e1efadb	1	65	#/texts/65	These are set dynamically, using references like	text
9935ecdc0d	1	66	#/texts/66	{{job.run_id}}	code
bc8f09f15e	1	67	#/texts/67	and	text
