element_id	page_no	position_in_page	self_ref	text50	label
c542a5c7cd	1	0	#/texts/0	Chapter 10. AI Governance	title
7bac399780	1	1	#/texts/1	AI governance has become a central topic in recent	text
36d5fa1682	1	2	#/texts/2	On the one hand, companies have started taking a m	text
f816ccd53a	1	3	#/texts/3	A well-known example	text
968ddf5dbd	1	4	#/texts/4	comes from New Zealand, where the supermarket chai	text
bbab4d28b3	1	5	#/texts/5	reputational and safety risks	text
e61a42aa3f	1	6	#/texts/6	of unchecked AI.	text
915c263b8e	1	7	#/texts/7	Meanwhile, governments, particularly in Europe, ar	text
8ab40beb0b	1	8	#/texts/8	AI regulations	text
a51f6e0bdd	1	9	#/texts/9	. The introduction of the EU Artificial Intelligen	text
d15e1e30b9	1	10	#/texts/10	Beyond regulation and reputation, there's also a h	text
848b1f35c8	1	11	#/texts/11	resilience and business continuity	text
217fe09165	1	12	#/texts/12	as it is about compliance and ethics.	text
3621274b82	1	13	#/texts/13	In this chapter, we will explore how Databricks ca	text
d708b86b4c	1	14	#/texts/14	We'll look into the EU AI Act, which is the most c	text
f1a351d5d5	1	15	#/texts/15	The AI Engineer's Guide to Surviving the AI Act	text
06ff1810b7	1	16	#/texts/16	by Larysa Visengerlyeva (O'Reilly).	text
c43739d3d0	1	17	#/texts/17	This chapter also introduces an	text
a9d4c03dbe	1	18	#/texts/18	MLOps checklist	text
a647a28302	1	19	#/texts/19	-an instrument organizations can use to assess the	text
0c58ee6fab	1	20	#/texts/20	ai_governance	text
786dad7016	1	21	#/texts/21	folder.	text
61f5baa68f	1	22	#/texts/22	The Scope of AI Governance	title
52ad3189cc	1	23	#/texts/23	To understand the scope of AI governance, we need 	text
bee6d7af29	1	24	#/texts/24	Definition of AI Under the EU AI Act	section_header
a8ddf3b38c	1	25	#/texts/25	What is AI? The term is used broadly, from statist	text
234b712894	1	26	#/texts/26	Chapter 1, Article 3	text
ba7588e478	1	27	#/texts/27	:	text
f34de86468	1	28	#/texts/28	\"AI system\" means a machine-based system that is d	text
5a2269186f	1	29	#/texts/29	The definition covers a wide range of AI technique	text
5443d79410	1	30	#/texts/30	The EU AI Act goes beyond defining AI systems in g	text
ebc83d8687	1	31	#/texts/31	\"General-purpose AI model\" means an AI model, incl	text
8d5e711259	1	32	#/texts/32	The challenge of definition: A three-factor approa	section_header
796f63de35	1	33	#/texts/33	The European Law Institute challenges the definiti	text
ed5c5ab62e	1	34	#/texts/34	three-factor approach	text
ebf9e2c24c	1	35	#/texts/35	to more effectively define what constitutes an AI 	text
9cd8bce599	1	36	#/texts/36	1	text
c36d0fa2cf	1	37	#/texts/37	This approach grades each of the proposed factors 	text
2a40deccf1	1	38	#/texts/38	The details of these three factors are as follows:	text
86716ebed1	1	39	#/texts/39	Factor I: use of data or domain-specific expert kn	list_item
016b95977a	1	40	#/texts/40	This factor acknowledges that a system is built us	list_item
47c245a255	1	41	#/texts/41	Factor II: creation of new know-how during operati	list_item
a34be38b69	1	42	#/texts/42	This factor is absent (0) in systems that only exe	list_item
935207cf62	1	43	#/texts/43	Factor III: degree of formal indeterminacy of outp	list_item
cf2872b95b	1	44	#/texts/44	This factor is absent (0) in tasks with clearly de	list_item
aac4dbf618	1	45	#/texts/45	A system qualifies as an AI system if it scores at	text
72aa7567ce	1	46	#/texts/46	Table 10-1	text
03766c9bca	1	47	#/texts/47	illustrates examples of different systems and how 	text
4ec3029d9c	1	48	#/tables/0	| Application                                     	table
ed44da8325	1	49	#/texts/48	OCR\n(typewritten text)	text
d1a921ff55	1	50	#/texts/49	No	text
4561091bc2	1	51	#/texts/50	OCR\n(handwriting)	text
9aa60a0780	1	52	#/texts/51	Yes	text
1115699452	1	53	#/texts/52	Yes	text
5c1b9ca632	1	54	#/texts/53	Yes	text
1f2f4556a0	1	55	#/texts/54	Yes	text
7e59f2bbf1	1	56	#/texts/55	Yes/No	text
997fe5f343	1	57	#/texts/56	Yes	text
f4612be6df	1	58	#/texts/57	Yes	text
b3465964db	1	59	#/texts/58	Yes	text
609a62d074	1	60	#/texts/59	Yes/No	text
e9c710d40c	1	61	#/texts/60	a	text
4b088385c2	1	62	#/texts/61	Adapted from	text
d0e4c26c7a	1	63	#/texts/62	the guidelines by the European Law Institute	text
906b8d44f6	1	64	#/texts/63	.	text
cc40f3139b	1	65	#/texts/64	Not all AI systems are created equal. Some are tig	text
106556eb75	1	66	#/texts/65	Now that we've looked at examples of systems and w	text
1927fa420b	1	67	#/texts/66	Risk Categories and Whom They Apply To	section_header
3bf42483d8	1	68	#/texts/67	The EU AI Act takes a	text
48946a4dd8	1	69	#/texts/68	risk-based approach	text
8bbb9ae967	1	70	#/texts/69	, meaning the higher the potential risk to human s	text
d9060a284b	1	71	#/texts/70	The high-level summary of the EU AI Act specifies 	text
534d44dcaf	1	72	#/texts/71	2	text
9230974573	1	73	#/texts/72	Unacceptable risk	list_item
57e7bb0f10	1	74	#/texts/73	This category includes general social scoring syst	list_item
b4ce31bfdf	1	75	#/texts/74	High risk	list_item
d59fa23f7b	1	76	#/texts/75	This category includes credit-scoring systems that	list_item
cceaae8f3d	1	77	#/texts/76	Limited risk	list_item
fb5ede014c	1	78	#/texts/77	This category includes chatbots, AIs that generate	list_item
2fc6914f15	1	79	#/texts/78	Minimal risk	list_item
8ed1ab8d34	1	80	#/texts/79	This includes most AI applications on the market, 	list_item
171d43ed22	1	81	#/texts/80	As we alluded to previously, the EU AI Act does no	text
678e1f04be	1	82	#/texts/81	Prohibited AI practices (in Article 5)	list_item
660760008d	1	83	#/texts/82	These are practices that create an unacceptable ri	list_item
05a84b42db	1	84	#/texts/83	High-risk AI systems (in Article 6)	list_item
9297fae40f	1	85	#/texts/84	These are systems that have a significant impact o	list_item
882a832bb1	1	86	#/texts/85	AI systems with specific transparency obligations 	list_item
916a1a0278	1	87	#/texts/86	The systems in this group are often referred to as	list_item
f1e75b28bc	1	88	#/texts/87	The EU AI Act also applies to the following:	text
b881ea47ca	1	89	#/texts/88	Providers	list_item
fad14b20ce	1	90	#/texts/89	These are the primary \"builders\" of AI, meaning th	list_item
bdf13e838b	1	91	#/texts/90	Deployers	list_item
f77c1bfdf3	1	92	#/texts/91	These are the \"users,\" meaning organizations (publ	list_item
b7331d34b7	1	93	#/texts/92	Non-EU providers and deployers	list_item
