element_id	page_no	position_in_page	self_ref	text50	label
cf14198234	1	0	#/texts/0	Chapter 3. MLflow for Traditional ML	title
d3feef7014	1	1	#/texts/1	MLflow	text
e1b0071204	1	2	#/texts/2	is an open-source tool that was originally created	text
a5da4a37ea	1	3	#/texts/3	Early in my career, before MLflow existed, we buil	text
b487b32eac	1	4	#/texts/4	MLflow provides a wide range of features, for both	text
f7f14fa7b7	1	5	#/texts/5	Chapter 8	text
22ca94a8e3	1	6	#/texts/6	):	text
c5af1e1e9e	1	7	#/texts/7	MLflow Tracking	list_item
83de227396	1	8	#/texts/8	This is a centralized repository that logs ML mode	list_item
0b370f6b0d	1	9	#/texts/9	MLflow Model Registry	list_item
13d86e2af2	1	10	#/texts/10	This is a centralized model store that allows user	list_item
f31e687eb9	1	11	#/texts/11	MLflow evaluation	list_item
04f45139a0	1	12	#/texts/12	This is a set of tools that facilitate model evalu	list_item
d42d3605b4	1	13	#/texts/13	MLflow Tracing	list_item
cd61874af0	1	14	#/texts/14	This is a feature that is integrated into MLflow T	list_item
4ceb238b09	1	15	#/texts/15	This book focuses on the Databricks-managed versio	text
3508336547	1	16	#/texts/16	We'll begin by exploring	text
61cb7b4c66	1	17	#/texts/17	experiment tracking	text
7fef9e7db1	1	18	#/texts/18	, which is one of the most mature and widely used 	text
45cdaf6784	1	19	#/texts/19	Experiment Tracking	title
de8aedcd88	1	20	#/texts/20	Experiment tracking	text
554be862d1	1	21	#/texts/21	helps teams keep track of model performance, confi	text
9805da8b2c	1	22	#/texts/22	MLflow addresses this challenge with its experimen	text
d7b0ac3113	1	23	#/texts/23	experiments	text
ff612b1c4c	1	24	#/texts/24	serve as the primary unit of organization for mode	text
b15e93de65	1	25	#/texts/25	run	text
04278acff3	1	26	#/texts/26	, which captures metadata such as parameters, metr	text
ecf3894a66	1	27	#/texts/27	Tracking URI	section_header
7365b99ad5	1	28	#/texts/28	By default, MLflow will track experiment runs usin	text
fe2cb40450	1	29	#/texts/29	./mlruns	text
4056185c02	1	30	#/texts/30	directory. Since we use the Databricks-managed ver	text
51e6e76197	1	31	#/texts/31	\"databricks\"	code
5101b60563	1	32	#/texts/32	when running code locally so that all the experime	text
d54503fe12	1	33	#/texts/33	\"databricks-uc\"	code
f5ee0ada38	1	34	#/texts/34	.	text
d4f3b3caaa	1	35	#/texts/35	You do this by setting the	text
8b083ab027	1	36	#/texts/36	MLFLOW_TRACKING_URI	code
c27cf67f38	1	37	#/texts/37	and	text
21d76740b6	1	38	#/texts/38	MLFLOW_REGISTRY_URI	code
d59dd99792	1	39	#/texts/39	environment variables or running the	text
278ea856fb	1	40	#/texts/40	mlflow.set_tracking_uri()	code
8e5806a4ab	1	41	#/texts/41	and	text
888ddd6fd5	1	42	#/texts/42	mlflow.set_ registry_ uri()	code
94313288e7	1	43	#/texts/43	commands. Please note that you need to provide the	text
4ba1259443	1	44	#/texts/44	.databrickscfg	text
27b6fb4e18	1	45	#/texts/45	file (an example of the profile name could be	text
e9076de4c9	1	46	#/texts/46	mlops-book	code
1c407bfdc3	1	47	#/texts/47	). If you use the	text
9688427f7b	1	48	#/texts/48	DEFAULT	code
d6793b9678	1	49	#/texts/49	profile, you do not need to pass the profile name 	text
1049d11afc	1	50	#/texts/50	import mlflow\n\nprofile = \" mlops-book \"\nmlflow . s	code
d2b7b832a5	1	51	#/texts/51	profile	code
4be4d7f5a3	1	52	#/texts/52	} \" )\nmlflow . set_registry_uri ( f \" databricks-u	code
bff1497b40	1	53	#/texts/53	profile	code
3753cae8af	1	54	#/texts/54	} \" )	code
d950a79f0a	1	55	#/texts/55	If we run the code on Databricks, however, we don'	text
5237763265	1	56	#/texts/56	.env	text
a02ab8e40c	1	57	#/texts/57	file (which should be ignored by Git via a	text
7dfac11a1b	1	58	#/texts/58	.gitignore	text
32dfc8b7fd	1	59	#/texts/59	file) and set the	text
1d9e8cf80c	1	60	#/texts/60	PROFILE	code
e114129250	1	61	#/texts/61	environment variable by using the	text
1c9dd87466	1	62	#/texts/62	python-dotenv package	text
fefd2e2346	1	63	#/texts/63	.	text
9b2d89629e	1	64	#/texts/64	We can then define whether the code runs on Databr	text
8ce693b1fd	1	65	#/texts/65	DATABRICKS_RUNTIME_VERSION	code
c459b85c0c	1	66	#/texts/66	environment variable is available. We can define t	text
3ea2b62a40	1	67	#/texts/67	src/hotel_booking/utils/common.py	text
9daa499ff0	1	68	#/texts/68	) and use this code in all the scripts that use ML	text
4c2c182d70	1	69	#/texts/69	import os	code
5d7e558f09	1	70	#/texts/70		code
65e6c4d4ae	1	71	#/texts/71	import mlflow	code
85acd84ce8	1	72	#/texts/72		code
937675639c	1	73	#/texts/73	from dotenv import load_dotenv	code
4684676b37	1	74	#/texts/74		code
c213482fad	1	75	#/texts/75	def set_mlflow_tracking_uri () -> None : if \"DATAB	code
4b809db0e2	1	76	#/texts/76	We can then check the current tracking and registr	text
322d72008c	1	77	#/texts/77	mlflow.get_tracking_uri()	code
e1c148f88b	1	78	#/texts/78	and	text
808c15ac2a	1	79	#/texts/79	mlflow.get_registry_uri()	code
26d5cc91f6	1	80	#/texts/80	commands. After we have set the tracking URI, we c	text
4ecf0f5371	1	81	#/texts/81	MLflow Experiment	section_header
