element_id	page_no	position_in_page	self_ref	text50	label
bff8964d7f	1	0	#/texts/0	Chapter 6. Monitoring ML Applications	title
f6f5f4fedc	1	1	#/texts/1	According to The Institute for Ethical AI & Machin	text
28a96a1a72	1	2	#/texts/2	Figure 6-1	text
64e6362002	1	3	#/texts/3	). Even though that figure is better than the one 	text
5095c2db0a	1	4	#/pictures/0	Bar chart showing that 42% of respondents do not u	picture
27ce31f2f1	1	5	#/texts/5	But monitoring isn't a \"nice-to-have.\" Without it,	text
5d235cc172	1	6	#/texts/6	By the end of this chapter, you will understand al	text
421d528e6c	1	7	#/texts/7	The different layers of ML monitoring	list_item
fa96830b93	1	8	#/texts/8	How to design a practical monitoring strategy	list_item
903073435a	1	9	#/texts/9	What metrics actually matter in production	list_item
2d834ed7f6	1	10	#/texts/10	How to set alerts on aspects that matter	list_item
fcc5c599f5	1	11	#/texts/11	How monitoring connects to retraining and continuo	list_item
1e49c1ed82	1	12	#/texts/12	In short, this chapter will move you from \"Model d	text
364602f32d	1	13	#/texts/4	Bar chart showing that 42% of respondents do not u	caption
7447e0c7c3	1	14	#/texts/13	What to Monitor	title
bdb7aea749	1	15	#/texts/14	Monitoring requirements for ML projects are highly	text
2d95db48e3	1	16	#/texts/15	Recommender Systems	section_header
16c5bb8804	1	17	#/texts/16	In a	text
082ef47da5	1	18	#/texts/17	recommender system	text
d57e7538d8	1	19	#/texts/18	, such as one for an online grocery store, a user 	text
842234edc2	1	20	#/texts/19	You can use metrics like precision@K, recall@K, an	text
2f05bd65e7	1	21	#/texts/20	Precision@K	list_item
e7fb432f9a	1	22	#/texts/21		list_item
6a5d1bc678	1	23	#/texts/22	This measures what share of items within the top	text
5fa9bb0a12	1	24	#/texts/23	K	text
4e47b1db34	1	25	#/texts/24	positions are relevant.	text
2c5b70e159	1	26	#/texts/25	Recall@K	list_item
cb27cd8b12	1	27	#/texts/26		list_item
66bb848edf	1	28	#/texts/27	This measures the share of relevant items captured	text
19992c4fea	1	29	#/texts/28	K	text
0b3d8f0540	1	30	#/texts/29	positions.	text
717606ed06	1	31	#/texts/30	F-score@K	list_item
f1025c50ec	1	32	#/texts/31		list_item
ab9b92b9cd	1	33	#/texts/32	This provides a balanced measure of Precision and 	text
7e76faf200	1	34	#/texts/33	K	text
e8f10e006a	1	35	#/texts/34	.	text
2b263a09ae	1	36	#/texts/35	If you want to explore the nuances further, Eviden	text
bb24f755fd	1	37	#/texts/36	extensive explanation of these metrics	text
97d9e36381	1	38	#/texts/37	. Overall, the higher the value of these metrics, 	text
8136de788e	1	39	#/texts/38	However, we should not forget the purpose of the r	text
abe031e2b0	1	40	#/texts/39	higher basket value	text
2bf717af28	1	41	#/texts/40	with the recommender than they would with random s	text
2c91822f9c	1	42	#/texts/41	In the case of such a recommender system, we can e	text
12aa39fc98	1	43	#/texts/42	Regression and Demand Forecasting	section_header
35ed6389de	1	44	#/texts/43	In regression tasks, such as predicting weekly sal	text
c219e5af75	1	45	#/texts/44	However, there are two things we can monitor with 	text
e5a376541c	1	46	#/texts/45	Business user feedback	list_item
d76fd861c3	1	47	#/texts/46	We can monitor for an unusual volume of manual cor	list_item
2faffefa50	1	48	#/texts/47	Estimated model performance	list_item
c91175486a	1	49	#/texts/48	We can utilize methods like direct loss estimation	list_item
36276cf26a	1	50	#/texts/49	The DLE method works by training a secondary	text
ee7df0a3ad	1	51	#/texts/50	nanny model	text
53a0b5ce57	1	52	#/texts/51	to predict the absolute error of the primary	text
77d9b85859	1	53	#/texts/52	child model	text
33bef1a540	1	54	#/texts/53	. While both models use the same input features, t	text
54497b2467	1	55	#/texts/54	NannyML documentation	text
d68734ed36	1	56	#/texts/55	, which offers extensive resources on this approac	text
eb77ccd4a8	1	57	#/texts/56	The ultimate performance metric is again the busin	text
7653a87a7a	1	58	#/texts/57	Large Language Models	section_header
78bafc167e	1	59	#/texts/58	Monitoring LLMs is even harder because outputs are	text
e77c4869a0	1	60	#/texts/59	Azure uses two ways of validating that new models 	text
b735fe1a43	1	61	#/texts/60	1	text
7f0d9d65d5	1	62	#/texts/61	Monitoring AI projects often comes down to monitor	text
7683402277	1	63	#/texts/62	Regardless of the use case, the goal is to detect	text
ce94af8ff2	1	64	#/texts/63	abrupt or gradual changes in model outputs	text
e2b334565c	1	65	#/texts/64	, which can signal that the world around the model	text
8f7d13fe64	1	66	#/texts/65	concept drift.	text
74bfc26456	1	67	#/texts/66	For example, imagine a model that predicts housing	text
01bd2412f7	1	68	#/texts/67	Concept Drift versus Data Drift	section_header
12b5f3b388	1	69	#/texts/68	In contrast,	text
443eb5cc03	1	70	#/texts/69	data drift	text
4862d5b6d8	1	71	#/texts/70	happens when the input data distribution shifts ev	text
7ca378b5fc	1	72	#/texts/71	Significant data drift, even in features with high	text
8c234675fb	1	73	#/texts/72	2	text
9ea3977ce6	1	74	#/texts/73	Fairness, Bias, and Regulatory Compliance	section_header
2e9be1fcce	1	75	#/texts/74	Another aspect of monitoring is	text
7b85afee36	1	76	#/texts/75	fairness and bias	text
870a82f797	1	77	#/texts/76	, which has become a formal regulatory requirement	text
4cb84f25ce	1	78	#/texts/77	Chapter 10	text
