element_id	page_no	position_in_page	self_ref	text50	label
e065b4edc6	1	0	#/texts/0	Chapter 3. Prompt Engineering with MLflow	title
704d566f3f	1	1	#/texts/1	Prompt engineering is often introduced as a creati	text
7067ffa944	1	2	#/texts/2	That is why prompts deserve to be treated as first	text
9c8efa32af	1	3	#/texts/3	We will keep the scope intentionally focused.	text
107d7721f3	1	4	#/texts/4	Chapter 1	text
cd3b1a03e7	1	5	#/texts/5	established the core GenAI building blocks and our	text
6c0c3279bc	1	6	#/texts/6	Chapter 2	text
34d543af87	1	7	#/texts/7	expanded that into a lifecycle mindset across deve	text
de6b2b88fd	1	8	#/texts/8	Chapter 3	text
9dbe062ecb	1	9	#/texts/9	, we zoom in on the prompt itself and answer the p	text
384cc03027	1	10	#/texts/10	How do we write prompts that are clear, constraine	list_item
6ef61a6f13	1	11	#/texts/11	How do we avoid the \"copy, paste, and pray\" workfl	list_item
19a828f709	1	12	#/texts/12	How do we update prompt behavior without redeployi	list_item
9fc656edda	1	13	#/texts/13	How do we compare prompt versions objectively, ins	list_item
525139a6f9	1	14	#/texts/14	How do we use automatic prompt tuning without turn	list_item
6069362c35	1	15	#/texts/15	To do this, we lean on capabilities in MLflow on D	text
827363ebdc	1	16	#/texts/16	Figure 3-1	text
eb1f810561	1	17	#/texts/17	). The thread running through all of these topics 	text
a9de6b27ea	1	18	#/pictures/0	Diagram illustrating the prompt lifecycle process,	picture
803fbaa47e	1	19	#/texts/19	This chapter is structured as a progression from c	text
b4fc148443	1	20	#/texts/20	If you take away one idea from this chapter, let i	text
24d8124fbb	1	21	#/texts/18	Diagram illustrating the prompt lifecycle process,	caption
797511830f	1	22	#/texts/21	Fundamentals of Prompt Engineering	title
2071097a4d	1	23	#/texts/22	Prompt engineering is about designing instructions	text
af35372975	1	24	#/texts/23	In the Unity Airways use case we discussed in Chap	text
af7a5204e4	1	25	#/texts/24	1	text
047fb5dac6	1	26	#/texts/25	and	text
35bad2db25	1	27	#/texts/26	2	text
9ac58571e1	1	28	#/texts/27	, the difference between a \"good\" and \"bad\" prompt	text
22752fc4ef	1	29	#/texts/28	This section gives you the foundations you will us	text
ef69abe5e9	1	30	#/texts/29	Core Prompting Techniques	section_header
2f4481b462	1	31	#/texts/30	You will see many naming conventions for different	text
75f1447806	1	32	#/texts/31	Zero-shot prompting	section_header
576f7745d2	1	33	#/texts/32	Zero-shot prompting is the simplest form: you ask 	text
15f5701912	1	34	#/texts/33	The risk is that zero-shot prompts leave too much 	text
719c09b6d4	1	35	#/texts/34	Zero-shot works best when you do three things at o	text
d413e7a621	1	36	#/texts/35	Define the role and scope (what the assistant is a	list_item
7d8a70a209	1	37	#/texts/36	Give clear constraints (length, tone, format).	list_item
aead210092	1	38	#/texts/37	Define what to do when information is missing.	list_item
b67b0e17fd	1	39	#/texts/38	A simple Unity Airways example might look like thi	text
dc0c616b16	1	40	#/texts/39	template = \"\"\"\nYou are a customer support assistan	code
4df007c111	1	41	#/texts/40	Tip	section_header
c39550c505	1	42	#/texts/41	Notice the use of	text
77045a204b	1	43	#/texts/42	{{question}}	code
bf7c065eaa	1	44	#/texts/43	. When you later store prompts in the Prompt Regis	text
6ecd2e0e06	1	45	#/texts/44	Few-shot prompting	section_header
