element_id	page_no	position_in_page	self_ref	text50	label
775237bab1	1	0	#/texts/0	Chapter 5. MLflow Tracing for GenAI Application Ob	title
0e2f7737a7	1	1	#/texts/1	In	text
8347c2868f	1	2	#/texts/2	Chapter 4	text
dfb078e932	1	3	#/texts/3	, we built a tool-calling agent to answer commonly	text
8fc2979c65	1	4	#/texts/4	This is where MLflow Tracing can make a real diffe	text
6a8b777f98	1	5	#/texts/5	Check each step and behavior of an agent.	list_item
9a54c0c0f4	1	6	#/texts/6	Pinpoint source of bugs and unexpected behavior.	list_item
f771931813	1	7	#/texts/7	Evaluate and improve application quality.	list_item
f6f86f804d	1	8	#/texts/8	Monitor performance and optimize costs.	list_item
7e5e9bb3db	1	9	#/texts/9	Tracing is becoming increasingly essential as the 	text
ddd7bb6a03	1	10	#/texts/10	Chapter 7	text
7d51accf50	1	11	#/texts/11	) composed of multiple components, as compared to 	text
2707cabaf9	1	12	#/texts/12	Chapter 4	text
fce92809cf	1	13	#/texts/13	.	text
da6b4fd65d	1	14	#/texts/14	In this chapter, we'll cover the fundamentals of M	text
dc9c0818fd	1	15	#/texts/15	Understanding MLflow Tracing	title
133e5a1d61	1	16	#/texts/16	The purpose of MLflow Tracing is to provide a tool	text
5570d8a644	1	17	#/texts/17	Chapter 4	text
f4a7128361	1	18	#/texts/18	, MLflow Tracing can record the input question, th	text
3a2787a00a	1	19	#/texts/19	Figure 5-1	text
b4b7534857	1	20	#/texts/20	illustrates this process.	text
4e4e5ab33c	1	21	#/pictures/0	Diagram illustrating the information capture proce	picture
78a0180c4f	1	22	#/texts/22	While this may sound analogous to logging in conve	text
cee72f6fd3	1	23	#/texts/23	Table 5-1	text
fc8c889e23	1	24	#/texts/24	describes these differences.	text
23a481f7d1	1	25	#/tables/0	|                        | Logging                	table
4b344b7aca	1	26	#/texts/25	That said, logging and tracing are often used toge	text
81e6036f0e	1	27	#/texts/26	Before we instrument our GenAI applications with t	text
ec203c91c1	1	28	#/texts/27	Trace	section_header
822897e450	1	29	#/texts/28	As mentioned, an MLflow	text
d70f0a9672	1	30	#/texts/29	Trace	code
a176b5a45c	1	31	#/texts/30	object captures the end-to-end journey of a reques	text
8dc0a55c6e	1	32	#/texts/31	TraceInfo	code
7e06c50625	1	33	#/texts/32	and	text
0a96daafb7	1	34	#/texts/33	TraceData	code
