element_id	page_no	position_in_page	self_ref	text50	label
3b6b9a1995	1	0	#/texts/0	Chapter 8. Deploying a GenAI Application with MLfl	title
79c3d260a6	1	1	#/texts/1	In the previous chapter, we upgraded our Unity Air	text
25e41b1150	1	2	#/texts/2	This chapter focuses on that next step: deployment	text
e5058d1936	1	3	#/texts/3	As we operationalize our Unity Airways assistant, 	text
b9a00b82ac	1	4	#/texts/4	Figure 8-1	text
b9a517e708	1	5	#/texts/5	):	text
36c138e3e0	1	6	#/texts/6	Deploying our agent to an endpoint for downstream 	list_item
e3bb140016	1	7	#/texts/7	Setting Unity AI Gateway for endpoint access contr	list_item
b7a724e722	1	8	#/texts/8	Adding AI guardrails to watch out for inquiries re	list_item
5661068397	1	9	#/texts/9	Setting authentication methods to agents, tools, a	list_item
5faa8bfaf6	1	10	#/texts/10	Using LLMOps best practices to address any challen	list_item
180e78f338	1	11	#/texts/11	These steps will ensure you make the right archite	text
dc843ecbbf	1	12	#/pictures/0	Diagram illustrating the steps for deploying an AI	picture
163b55beaa	1	13	#/texts/13	Note	section_header
562f142e10	1	14	#/texts/14	Keeping in mind that agent development is iterativ	text
26da00cc36	1	15	#/texts/12	Diagram illustrating the steps for deploying an AI	caption
0f39dc228c	1	16	#/texts/15	Deploying to Databricks Model Serving	title
a06b7756b8	1	17	#/texts/16	Now that our agent has been registered and tested 	text
1ab7846970	1	18	#/texts/17	agents.deploy()	code
bf2d2e80ac	1	19	#/texts/18	from Mosaic AI Agent Framework to deploy our agent	text
79ad4179d4	1	20	#/texts/19	from databricks import agents\nagents.deploy(\n   mo	code
0bf73b82ff	1	21	#/texts/20	The function	text
c88fad35d6	1	22	#/texts/21	agents.deploy()	code
8c6eef9f6e	1	23	#/texts/22	has the following parameters:	text
6d7ea4616c	1	24	#/texts/23	model_name	list_item
56db3e4dcc	1	25	#/texts/24	This is the registered name of the model in Unity 	list_item
3e0d1bb14e	1	26	#/texts/25	model_version	list_item
27ad9bdc82	1	27	#/texts/26	This specifies the version number of the registere	list_item
eec1907c86	1	28	#/texts/27	scale_to_zero	list_item
b91c71317f	1	29	#/texts/28		list_item
e310720ef0	1	30	#/texts/29	When set to	text
aaf9cfee3d	1	31	#/texts/30	True	code
f2083e6611	1	32	#/texts/31	, the model serving endpoint will automatically sc	text
6d60b490dc	1	33	#/texts/32	False	code
7ba5603b38	1	34	#/texts/33	for production workloads.	text
bf36166b9f	1	35	#/texts/34	environment_vars	list_item
d69477e4f2	1	36	#/texts/35		list_item
2a1e9064a7	1	37	#/texts/36	This contains a dictionary of environment variable	text
0c9847d83e	1	38	#/texts/37	{{secrets/<secret_scope>/<secret_name>}}	code
9b87eb9397	1	39	#/texts/38	.	text
b822ffd958	1	40	#/texts/39	deploy_feedback_model	list_item
b8d202cbf8	1	41	#/texts/40		list_item
9a6130161f	1	42	#/texts/41	When set to	text
d44e9ad6bf	1	43	#/texts/42	True	code
