element_id	page_no	position_in_page	self_ref	text50	label
2b100f9ecd	1	0	#/texts/0	Chapter 6. Evaluating GenAI Applications with MLfl	title
6e4a6e93ff	1	1	#/texts/1	By this point, you have a tool-calling agent that 	text
1902a82627	1	2	#/texts/2	For classical machine learning, that question is o	text
43641415bc	1	3	#/texts/3	This is where evaluation becomes a first-class par	text
e3febfa26b	1	4	#/texts/4	The MLflow Evaluation Framework	title
41807a6d78	1	5	#/texts/5	The evaluation framework in MLflow 3.x provides a 	text
6bb724f5dc	1	6	#/texts/6	Datasets	list_item
f47979bc2c	1	7	#/texts/7	These are the base of every evaluation. Each datas	list_item
79816e9120	1	8	#/texts/8	Scorers	list_item
df5773212f	1	9	#/texts/9	These are evaluation functions that assess the qua	list_item
db5f57691e	1	10	#/texts/10	Evaluation run	list_item
5271b65310	1	11	#/texts/11	This is the execution phase that brings datasets a	list_item
0dd91f52af	1	12	#/texts/12	Feedback	list_item
e88371ae5e	1	13	#/texts/13	This records quality assessments of GenAI applicat	list_item
825fd185de	1	14	#/texts/14	These components work together as a continuous sys	text
713ff53c58	1	15	#/texts/15	Evaluation Harness	section_header
eaddb07f9d	1	16	#/texts/16	In MLflow, the evaluation harness provides a repea	text
3339a5e1a4	1	17	#/texts/17	Because the harness is integrated with MLflow trac	text
4a9e8ec3ba	1	18	#/texts/18	Figure 6-1	text
2e78703f72	1	19	#/texts/19	shows this evaluation loop at a high level. Evalua	text
d892bb77a7	1	20	#/pictures/0	Diagram illustrating a high-level evaluation loop 	picture
74c06daee6	1	21	#/texts/21	The	text
d926a1bb1d	1	22	#/texts/22	mlflow.genai.evaluate()	code
d0da5820e7	1	23	#/texts/23	function is the entry point for this workflow. It 	text
a254760563	1	24	#/texts/24	Complete application outputs, such as an agent's f	list_item
1429dd368f	1	25	#/texts/25	Intermediate components, such as retrievers, reran	list_item
fdbecf8ca3	1	26	#/texts/26	Static datasets or deterministic functions, when p	list_item
764c035e24	1	27	#/texts/27	Streaming responses can be consolidated into a sin	text
5755411124	1	28	#/texts/28	Evaluation Modes	section_header
94f9c56cd0	1	29	#/texts/29	MLflow supports two evaluation modes, direct evalu	text
c669c7e2c9	1	30	#/texts/30	Direct evaluation	section_header
