element_id	page_no	position_in_page	self_ref	text50	label
e41f55d8ee	1	0	#/texts/0	Chapter 9. Production Monitoring with MLflow	title
c1fb233225	1	1	#/texts/1	In	text
2154b747b6	1	2	#/texts/2	Chapter 8	text
d22054dfda	1	3	#/texts/3	, we successfully deployed our GenAI application a	text
42694757a4	1	4	#/texts/4	From our experience, we found that many teams focu	text
02b3598b2e	1	5	#/texts/5	The long-term success depends on strong production	text
1f7af5f5dc	1	6	#/texts/6	In this chapter, we'll explore how to use MLflow t	text
a5d48a94cf	1	7	#/texts/7	Types of Metrics to Monitor	title
af12a3bb3f	1	8	#/texts/8	Before exploring how MLflow can enhance production	text
0026fa510a	1	9	#/texts/9	Operational Metrics	section_header
33ffee2a0f	1	10	#/texts/10	These measurements (	text
6ee8251354	1	11	#/texts/11	Table 9-1	text
140a49c1d5	1	12	#/texts/12	) track system-level performance, reliability, and	text
900e5f3cc3	1	13	#/tables/0	| Metric type          | Description              	table
6560fe9427	1	14	#/texts/13	End-to-end execution time of the application	list_item
1a084749ed	1	15	#/texts/14	Detailed latency breakdown of the key components i	list_item
58d50241ed	1	16	#/texts/15	Execution time of agent for each request	list_item
d30f275e10	1	17	#/texts/16	Retrieval time from FAQ vector search	list_item
eb6e1b5dae	1	18	#/texts/17	Number of requests processed by the application in	list_item
81ceb6a740	1	19	#/texts/18	Number of failures returned by the application in 	list_item
e4063f8adc	1	20	#/texts/19	Component failure in the application	list_item
d5081cbe8d	1	21	#/texts/20	Number of requests in past seven days	list_item
2931cd73d3	1	22	#/texts/21	Number of failures in the past seven days	list_item
57f374e1e2	1	23	#/texts/22	Number of FAQ vector search retrieval failures	list_item
4233a9a135	1	24	#/texts/23	Number of Databricks FMAPI call failures	list_item
7cb3b1f161	1	25	#/texts/24	LLM input and output token consumption patterns	list_item
152f310b96	1	26	#/texts/25	System resource utilization	list_item
b6275118c7	1	27	#/texts/26	Number of LLM input and output tokens from Databri	list_item
09a53321f6	1	28	#/texts/27	CPU utilization of model serving endpoint	list_item
716eca0044	1	29	#/texts/28	Memory utilization of model serving endpoint	list_item
8ef8f441a2	1	30	#/texts/29	These metrics are quantitative, structured, and ea	text
16451fbd73	1	31	#/texts/30	Quality Metrics	section_header
a53faf17fc	1	32	#/texts/31	These measurements (	text
22b681c574	1	33	#/texts/32	Table 9-2	text
ed55063064	1	34	#/texts/33	) track the overall quality of the GenAI applicati	text
0e50891a03	1	35	#/tables/1	| Metric type           | Description             	table
81f2e7c1da	1	36	#/texts/34	Factual accuracy of the response:	list_item
692058b710	1	37	#/texts/35	Is the application able to understand domain-speci	list_item
688d8a45ed	1	38	#/texts/36	Is the application referencing the right sources?	list_item
51902d6ca6	1	39	#/texts/37	Tone of response:	list_item
3f32356a28	1	40	#/texts/38	Is the response adhering to corporate guidelines?	list_item
454a462321	1	41	#/texts/39	Is the response overly informal?	list_item
147a819c00	1	42	#/texts/40	Is the application using the right FAQ information	text
c3828b403a	1	43	#/texts/41	Bias content: does the response discriminate again	list_item
241455c81e	1	44	#/texts/42	Harmful content: does the response contain any inf	list_item
60dca5d15d	1	45	#/texts/43	Compliant with regulations: does the response cont	list_item
55f34a8ff1	1	46	#/texts/44	How are the users rating the application?	list_item
0012b33282	1	47	#/texts/45	What feedback are the users providing?	list_item
f4321119ad	1	48	#/texts/46	These metrics are derived from unstructured text d	text
21da3f8c3a	1	49	#/texts/47	Business Impact Metrics	section_header
ae0457c322	1	50	#/texts/48	These measurements (	text
94d7919507	1	51	#/texts/49	Table 9-3	text
d49cab90cf	1	52	#/texts/50	) track whether the GenAI application is able to m	text
dfa5e72196	1	53	#/tables/2	| Metric type          | Description              	table
cd86ff3168	1	54	#/texts/51	How many users over the past week? How many of the	list_item
6f34d1fa81	1	55	#/texts/52	What are the commonly asked topics?	list_item
4bdab46b21	1	56	#/texts/53	What are some popular topics that the application 	list_item
