element_id	page_no	position_in_page	self_ref	text50	label
adf8536c2d	1	0	#/texts/0	Chapter 8. MLflow for GenAI	title
cd5dfcebb4	1	1	#/texts/1	MLflow for GenAI	text
003588a2c7	1	2	#/texts/2	can be thought of as a	text
3734771258	1	3	#/texts/3	distinct layer	text
3beceec027	1	4	#/texts/4	on top of the MLflow concepts we've seen so far. W	text
0b6e7d6382	1	5	#/texts/5	In GenAI workflows, we still log and register mode	text
87bb2d3362	1	6	#/texts/6	PythonModel	text
003298ba83	1	7	#/texts/7	, GenAI applications typically use classes such as	text
00fca77945	1	8	#/texts/8	ResponsesAgent	text
3154110a4e	1	9	#/texts/9	, which are designed to represent agents rather th	text
cbe9512d6d	1	10	#/texts/10	Evaluation is also fundamentally different. Rather	text
cb7b213f3c	1	11	#/texts/11	traces	text
2f0b081cb5	1	12	#/texts/12	to provide fine-grained observability into everyth	text
d293d3f60c	1	13	#/texts/13	In the following sections, we'll explore MLflow's 	text
6c49c5f9a2	1	14	#/texts/14	MLflow Flavors	title
29420d5aff	1	15	#/texts/15	In	text
a28af7d562	1	16	#/texts/16	Chapter 3	text
857a947021	1	17	#/texts/17	, we explored logging and registering ML models us	text
e36171fbfe	1	18	#/texts/18	For even greater control, you can define your own 	text
9683aa57fc	1	19	#/texts/19	mlflow.pyfunc.ResponsesAgent	code
df60283063	1	20	#/texts/20	, which follows OpenAI Responses API. This approac	text
a7406e435a	1	21	#/texts/21	Figure 8-1	text
663f507114	1	22	#/texts/22	summarizes these various flavors and illustrates t	text
42d80d76a9	1	23	#/pictures/0	Diagram showing different model flavors including 	picture
c032a815cd	1	24	#/texts/24	In this chapter, we'll focus on building a custom 	text
eff945edac	1	25	#/texts/25	@mlflow.trace	text
834ca9e2ac	1	26	#/texts/26	decorator when building the agent.	text
af0aa6a995	1	27	#/texts/23	Diagram showing different model flavors including 	caption
63eea80fee	1	28	#/texts/27	MLflow Tracing	title
5e16433da6	1	29	#/texts/28	MLflow tracing	text
6844480184	1	30	#/texts/29	gives you visibility into what your LLM applicatio	text
9f96b530e1	1	31	#/texts/30	With tracing enabled, you're no longer flying blin	text
eb4c90a877	1	32	#/texts/31	Let's examine the specific components that make up	text
1b38be1b49	1	33	#/texts/32	Anatomy of a Trace	section_header
1ae6d458fa	1	34	#/texts/33	At a high level, a trace is conceptually similar t	text
9667374751	1	35	#/texts/34	Chapter 3	text
e4334fc857	1	36	#/texts/35	). Both belong to an MLflow experiment. The differ	text
b4045a7d49	1	37	#/texts/36	Each trace consists of two main parts: trace info 	text
c92430f842	1	38	#/texts/37	Figure 8-2	text
68f26ccf6b	1	39	#/texts/38	).	text
4fb9952f03	1	40	#/pictures/1	Diagram showing the structure of a trace, divided 	picture
a1be235edd	1	41	#/texts/40	Trace info	text
b5ee9566a2	1	42	#/texts/41	contains high-level metadata about an execution. T	text
7c7f42f69d	1	43	#/texts/42	tags	text
da46a9b53e	1	44	#/texts/43	, which add contextual information such as the use	text
9294ef8edb	1	45	#/texts/44	Trace data	text
25bceea82c	1	46	#/texts/45	stores the actual execution payload. It contains t	text
f65509687f	1	47	#/texts/46	span objects	text
179ca8a118	1	48	#/texts/47	that capture the step-by-step behavior of your app	text
e576f2c83b	1	49	#/texts/48	MLflow's span object is designed to be fully compa	text
d8c45a3246	1	50	#/texts/49	MLflow supports a rich set of span types that reco	text
bd277a3641	1	51	#/texts/50	LLM	list_item
3d23d956b1	1	52	#/texts/51	This records language model inference.	list_item
092b174bab	1	53	#/texts/52	TOOL	list_item
6711fceb73	1	54	#/texts/53	This records the execution of external tools, func	list_item
a9e1433a37	1	55	#/texts/54	RETRIEVER	list_item
2b8ecb9cc7	1	56	#/texts/55	This records the retrieval of relevant context, fo	list_item
a9daec4ba7	1	57	#/texts/56	MEMORY	list_item
6b7170b91e	1	58	#/texts/57	This records instances of reading from or writing 	list_item
3c4dc2e642	1	59	#/texts/58	EMBEDDING	list_item
4f36d1718b	1	60	#/texts/59	This records the generation of vector embeddings f	list_item
0ddaf02b9d	1	61	#/texts/60	RERANKER	list_item
d3cae3c933	1	62	#/texts/61	This records the reranking of retrieved results ba	list_item
cd9afcb495	1	63	#/texts/62	As with traditional ML experiment tracking, MLflow	text
c29f217892	1	64	#/texts/63	MLflow Tracing APIs	section_header
72045fbfdf	1	65	#/texts/64	The simplest way to trace a function is by using t	text
7fcf1dd659	1	66	#/texts/65	@mlflow.trace()	code
7eda3f1652	1	67	#/texts/66	decorator. When we apply it, it creates a span for	text
b382fd22d1	1	68	#/texts/67	my_func	code
189ce55c39	1	69	#/texts/68	that records input arguments	text
386cddaa81	1	70	#/texts/69	x	code
ce7747f495	1	71	#/texts/70	and	text
a91e23438a	1	72	#/texts/71	y	code
683894318e	1	73	#/texts/72	, along with the function's return value. Note tha	text
bc0ef5baa2	1	74	#/texts/73	Chapter 3	text
0ee4c68a2d	1	75	#/texts/74	:	text
ac04bf27e3	1	76	#/texts/75	import mlflow	code
5bc62f77a6	1	77	#/texts/76		code
5b0788b90b	1	78	#/texts/77	from arxiv_curator.utils.common import set_mlflow_	code
0ace0ae79f	1	79	#/texts/78		code
91e5f2e7c4	1	80	#/texts/79	set_mlflow_tracking_uri ()	code
9ca736faf2	1	81	#/texts/80		code
711c312bc3	1	82	#/texts/81	mlflow . set_experiment ( '/Shared/tracing-demo' )	code
bc72610f5c	1	83	#/texts/82		code
92a03778f1	1	84	#/texts/83	@mlflow . trace	code
2279b326cc	1	85	#/texts/84		code
aa151d4cb8	1	86	#/texts/85	def my_func ( x , y ): return x + y	code
fd109bc758	1	87	#/texts/86	We can do the same with the	text
27ee215954	1	88	#/texts/87	mlflow.start_span()	code
a38f3f3fc0	1	89	#/texts/88	function, which manually defines the span and its 	text
0aca62b132	1	90	#/texts/89	def my_func ( x , y ): return x + y	code
93d4d028e1	1	91	#/texts/90		code
96cef32a90	1	92	#/texts/91	with mlflow . start_span ( \"my_func\" ) as span : x	code
9b49f6edba	1	93	#/texts/92	We can also add more context to a trace, even when	text
85c4742adc	1	94	#/texts/93	@mlflow.trace()	code
a959eb7724	1	95	#/texts/94	decorator. For example, we may want to attach a se	text
42f47a7b82	1	96	#/texts/95	mlflow.update_current_trace()	code
cbe734def6	1	97	#/texts/96	function. The following example shows how to add a	text
4913717bf7	1	98	#/texts/97	import random	code
8166ed2dc7	1	99	#/texts/98		code
c3e71b86f2	1	100	#/texts/99	from datetime import datetime	code
14f5825efc	1	101	#/texts/100		code
994f682ea0	1	102	#/texts/101	timestamp = datetime . now () . strftime ( \" %Y%m%	code
8de3a77ad8	1	103	#/texts/102		code
97e3525b67	1	104	#/texts/103	session_id = f \"s- { timestamp } - { random . rand	code
e252790fb5	1	105	#/texts/104		code
2618b61e42	1	106	#/texts/105	request_id = f \"req- { timestamp } - { random . ra	code
365c7eda23	1	107	#/texts/106		code
f1c778ddee	1	108	#/texts/107	git_sha = \"abcd\"	code
431e1f12df	1	109	#/texts/108		code
7c7c1077a9	1	110	#/texts/109	@mlflow . trace	code
cbb44c15f2	1	111	#/texts/110		code
a0ce3ab6af	1	112	#/texts/111	def my_func ( x , y ): mlflow . update_current_tra	code
0f1e2cce1b	1	113	#/texts/112		code
ef223eecc8	1	114	#/texts/113	) return x + y	code
251d621e95	1	115	#/texts/114	We can search generated traces by using a workflow	text
b2f74a36f4	1	116	#/texts/115	git_sha	code
1bc9601788	1	117	#/texts/116	tag:	text
32147ecc67	1	118	#/texts/117	mlflow . search_traces ( filter_string = f \"tags.g	code
40054f136e	1	119	#/texts/118	Now that we understand how to work with MLflow tra	text
f9fdaf3948	1	120	#/texts/119	@mlflow.trace	code
f5c1a57348	1	121	#/texts/120	decorator, and passing additional context.	text
d75e4d5c98	1	122	#/texts/39	Diagram showing the structure of a trace, divided 	caption
14ee373137	1	123	#/texts/121	Defining a Custom Agent	title
