element_id	page_no	position_in_page	self_ref	text50	label
a9f9511433	1	0	#/texts/0	Chapter 1. MLOps Principles and Components	title
b1e57fbceb	1	1	#/texts/1	Machine learning operations	text
71147f8b4d	1	2	#/texts/2	(MLOps) is a set of practices that help to bring M	text
02b3751a58	1	3	#/texts/3	MLOps addresses the same core challenge as DevOps 	text
a6f3e0d631	1	4	#/texts/4	Unlike traditional software systems, ML applicatio	text
a8caa27e46	1	5	#/texts/5	These characteristics make the development lifecyc	text
01f9fa11fc	1	6	#/texts/6	More broadly, these challenges extend to AI system	text
76e2e6aa95	1	7	#/texts/7	In this chapter, I will walk you through the evolu	text
347b27cfd7	1	8	#/texts/8	The Rise of MLOps	title
d38cabb8aa	1	9	#/texts/9	The term	text
6b7dd333a4	1	10	#/texts/10	MLOps	text
ccdb5d7a7e	1	11	#/texts/11	began gaining widespread popularity around 2020. T	text
a031736889	1	12	#/texts/12	In practice, bringing ML models into production re	text
28f89bbf3e	1	13	#/texts/13	Figure 1-1	text
60a2e45a92	1	14	#/texts/14	, which is an adapted diagram from the well-known 	text
28df9e8b34	1	15	#/texts/15	1	text
1cbbf65606	1	16	#/texts/16	It shows that the majority of the system consists 	text
12ade3e6fb	1	17	#/texts/17	To make the outputs of ML models valuable to a bus	text
437aa246e6	1	18	#/texts/18	Historically, data analytics and later data scienc	text
59792049de	1	19	#/pictures/0	Diagram illustrating that ML code is a small part 	picture
235148ebb0	1	20	#/texts/20	A shift was therefore needed. In recent years, man	text
f7eaa04061	1	21	#/texts/21	machine learning engineer	text
7ee224a656	1	22	#/texts/22	, which is embedded within these teams to enable e	text
5599e4b28c	1	23	#/texts/23	At the same time, platform teams have started adop	text
831cd88d2d	1	24	#/texts/24	2	text
a0c4e98d6f	1	25	#/texts/25	LinkedIn's ProML,	text
a0a9ce6842	1	26	#/texts/26	3	text
f31c331990	1	27	#/texts/27	and Netflix's ML Platform.	text
debeed5bed	1	28	#/texts/28	4	text
cf09f45075	1	29	#/texts/29	Today, organizations are in a similar phase, this 	text
7c882f2e59	1	30	#/texts/30	Because many organizations have already undergone 	text
3edbf05099	1	31	#/texts/19	Diagram illustrating that ML code is a small part 	caption
edd709d3d5	1	32	#/texts/31	MLOps Principles	title
8291a9447e	1	33	#/texts/32	We've established how MLOps became a discipline in	text
d40ce7b444	1	34	#/texts/33	There are many examples out there of how things ca	text
4eeb447afd	1	35	#/texts/34	5	text
0243ffa733	1	36	#/texts/35	The goal of MLOps is to minimize the risks of thin	text
91f7d4a251	1	37	#/texts/36	four main MLOps principles	text
5d67ad668e	1	38	#/texts/37	: reliability, traceability, reproducibility, and 	text
47ec098fc2	1	39	#/texts/38	Table 1-1	text
df18968cd1	1	40	#/texts/39	).	text
7c4356ccde	1	41	#/tables/0	| Principle       | Core question                 	table
fc5938c111	1	42	#/texts/40	These are developer-centric principles and focused	text
fa3b1e11e0	1	43	#/texts/41	6	text
5370555cf6	1	44	#/texts/42	The following sections will cover the four main ML	text
e3dec3c2f3	1	45	#/texts/43	Traceability	section_header
be81748084	1	46	#/texts/44	Traceability	text
cfc65ee950	1	47	#/texts/45	means that for any given ML model run or deploymen	text
b4aa924d0f	1	48	#/texts/46	Corresponding code and commits on Git	list_item
766b5747db	1	49	#/texts/47	The infrastructure used for training and serving	list_item
ea75e0955e	1	50	#/texts/48	ML model artifacts	list_item
8dae20a85c	1	51	#/texts/49	What data was used to train the ML model	list_item
edd35877f1	1	52	#/texts/50	In practice, this often breaks down. For example, 	text
2039ab9275	1	53	#/texts/51	Effective traceability requires every run to autom	text
649ac78a3b	1	54	#/texts/52	Table 1-2	text
ea11a959ca	1	55	#/texts/53	lists the traditional ML traceability components a	text
c199ae878d	1	56	#/tables/1	| Traditional ML traceability components   | Examp	table
52a0bf2afd	1	57	#/texts/54	Modern LLM and agentic systems add more layers of 	text
a803b68823	1	58	#/texts/55	Table 1-3	text
11d729c54b	1	59	#/texts/56	Lists LLM-based system traceability components and	text
a5ea00d89b	1	60	#/tables/2	| LLM-based system traceability components   | Exa	table
ce84c8db69	1	61	#/texts/57	Effective traceability requires that every run aut	text
ebf51b4ecc	1	62	#/texts/58	Teams that invest in this capability spend far les	text
9b2e0e33b6	1	63	#/texts/59	Reproducibility	section_header
9ef90bb848	1	64	#/texts/60	Reproducibility	text
29608b2a20	1	65	#/texts/61	extends traceability one step further. Traceabilit	text
5b3e593196	1	66	#/texts/62	For traditional ML systems, reproducibility means 	text
f9e4ce2884	1	67	#/texts/63	In practice, reproducibility takes effort. Without	text
ced47697e0	1	68	#/texts/64	For LLM and agentic systems, reproducibility becom	text
2944d2183b	1	69	#/texts/65	functional reproducibility	text
d1912b08a0	1	70	#/texts/66	: the ability to re-create a system configuration 	text
bbe03e5982	1	71	#/texts/67	It is worth noting that the boundary between tradi	text
a3127429fb	1	72	#/texts/68	7	text
1c8a6c2bd6	1	73	#/texts/69	These were known problems, but they affected a sma	text
b276045db5	1	74	#/texts/70	Reliability	section_header
79b08e85fd	1	75	#/texts/71	Reliability	text
af27d8e088	1	76	#/texts/72	is the principle that an ML system should function	text
38ac01f844	1	77	#/texts/73	While reliability engineering traditionally focuse	text
f02c87e3a3	1	78	#/texts/74	Clean code ensures that models can be updated, deb	text
930c9034d0	1	79	#/texts/75	8	text
506ca2f2bc	1	80	#/texts/76	The systems with the highest stakes consistently h	text
45e43422be	1	81	#/texts/77	Google's site reliability engineering (SRE) handbo	text
74219c237f	1	82	#/texts/78	9	text
0cab2a8347	1	83	#/texts/79	The tools and frameworks that ML systems depend on	text
8a8a1fac9c	1	84	#/texts/80	Clear structure and modular design	list_item
8627d79a44	1	85	#/texts/81	Testing at multiple levels, from unit tests to int	list_item
9e07e79688	1	86	#/texts/82	Consistent standards that are enforced across the 	list_item
27f127027b	1	87	#/texts/83	The complexity you cannot remove is exactly the co	text
6569d56b8f	1	88	#/texts/84	A common counterargument is that AI-assisted code 	text
c1b8096ef0	1	89	#/texts/85		list_item
08b90f54f9	1	90	#/texts/86	CodeRabbit's analysis of 470 open-source pull requ	text
0247af22d6	1	91	#/texts/87	10	text
98fab62a64	1	92	#/texts/88		list_item
ad21ccf4ba	1	93	#/texts/89	The 2024 DevOps Research and Assessment (DORA) rep	text
79848c9f3d	1	94	#/texts/90	11	text
c7d4d05b7f	1	95	#/texts/91	Generating code faster does not eliminate the cost	text
825d849978	1	96	#/texts/92	But code quality alone is not enough. It has to be	text
b55138ab00	1	97	#/texts/93	Continuous integration and continuous deployment (	list_item
746a6cf054	1	98	#/texts/94	Safe deployment strategies, like canary releases a	list_item
4ba4ee2ad9	1	99	#/texts/95	Dependency management and environment pinning that	list_item
61145ff90c	1	100	#/texts/96	Weakness in any one layer undermines the rest. The	text
23029bda05	1	101	#/texts/97	Reliability also extends into infrastructure and o	text
cfac2564c1	1	102	#/texts/98	Reliable Machine Learning	text
385929c839	1	103	#/texts/99	by Cathy Chen et al. (O'Reilly) applies SRE princi	text
f5e5a0cad3	1	104	#/texts/100	Observability	section_header
1ba7809819	1	105	#/texts/101	Contrary to popular belief, the lifecycle of an AI	text
950c8e05f1	1	106	#/texts/102	An	text
01516a5825	1	107	#/texts/103	observable	text
a91dfef037	1	108	#/texts/104	system is one whose internal state you can underst	text
d734f2e21d	1	109	#/texts/105	A core component of observability is	text
8109aba04f	1	110	#/texts/106	monitoring	text
5dc48c4212	1	111	#/texts/107	: tracking known metrics and alerting when they cr	text
0ff10f254a	1	112	#/texts/108	Application-level data	list_item
a8c62ff4e7	1	113	#/texts/109	Response times, error rates, throughput, and laten	list_item
5b772f5899	1	114	#/texts/110	Infrastructure health	list_item
6e1e83b4b3	1	115	#/texts/111	CPU health, memory utilization, and health metrics	list_item
298f7629fb	1	116	#/texts/112	System-relevant business metrics	list_item
9dda1e3885	1	117	#/texts/113	For example, KPIs such as the click-through rate a	list_item
0e14c46296	1	118	#/texts/114	ML systems differ from traditional software system	text
a7f243571b	1	119	#/texts/115	A software system will perform as expected as long	text
54a7201a9c	1	120	#/texts/116	Figure 1-2	text
17ebdbe2b2	1	121	#/texts/117	illustrates this difference and this challenge.	text
d9cfae0dc9	1	122	#/pictures/1	Diagram comparing the deterministic nature of trad	picture
c7994bace0	1	123	#/texts/119	In addition, data quality issues are some of the m	text
6b94db4f02	1	124	#/texts/120	In traditional ML, production monitoring of model 	text
dff521b6f0	1	125	#/texts/121	For LLM-based systems, the challenge is not just t	text
55954d1856	1	126	#/texts/118	Diagram comparing the deterministic nature of trad	caption
b4b2ceb828	1	127	#/texts/122	Team Practices	title
96c381b74a	1	128	#/texts/123	Principles don't survive without the right culture	text
