element_id	page_no	position_in_page	self_ref	text50	label
c0e8c60dd5	1	0	#/texts/0	Chapter 2. End-to-End GenAI Application Lifecycle 	title
532fe0dd9c	1	1	#/texts/1	If	text
117df116df	1	2	#/texts/2	Chapter 1	text
38895f2c34	1	3	#/texts/3	was our friendly neighborhood tour of MLflow, this	text
0c00282821	1	4	#/texts/4	MLflow 3.x is built for that loop. MLflow Tracing 	text
d2ca859597	1	5	#/texts/5	In this chapter, we introduce a five-phase lifecyc	text
483f1908f7	1	6	#/texts/6	Develop	list_item
9d461e0031	1	7	#/texts/7	Focuses on building a traceable, testable applicat	list_item
8ba5bc91ce	1	8	#/texts/8	Evaluate	list_item
111d597bee	1	9	#/texts/9	Formalizes quality before deployment, using curate	list_item
7dafb8b0d6	1	10	#/texts/10	Deploy	list_item
c156cd1bfd	1	11	#/texts/11	Promotes versioned artifacts through controlled re	list_item
27811f8376	1	12	#/texts/12	Monitor	list_item
16954d3d35	1	13	#/texts/13	Observes real-world behavior through structured tr	list_item
92d3152229	1	14	#/texts/14	Improve	list_item
8621c8b0bd	1	15	#/texts/15	Closes the loop with targeted, evidence-backed cha	list_item
58169390f5	1	16	#/texts/16	This structure is intentional. Evaluation precedes	text
3b995119e8	1	17	#/texts/17	We will keep the Unity Airways chatbot customer as	text
f7305605fa	1	18	#/texts/18	Chapter 1	text
5622250d7b	1	19	#/texts/19	as our grounding example. It provides a concrete c	text
a02f937b9c	1	20	#/texts/20	By the end of this chapter, you should have a clea	text
ef920e899b	1	21	#/texts/21	Overview of the GenAI Application Lifecycle with M	title
51029bee51	1	22	#/texts/22	This section zooms out to the full lifecycle: what	text
fd26becdc0	1	23	#/texts/23	Figure 2-1	text
e5399fcf50	1	24	#/texts/24	). The goal is a clear mental model that teams can	text
3b20114ace	1	25	#/pictures/0	Diagram illustrating the five-phase GenAI applicat	picture
e38dd9faa5	1	26	#/texts/26	The Five-Phase GenAI Lifecycle	section_header
dbd309134a	1	27	#/texts/27	The	text
3444f669d2	1	28	#/texts/28	develop	text
e996066239	1	29	#/texts/29	phase begins with a prompt, a model route, and opt	text
4a21407667	1	30	#/texts/30	This is also where you reduce risk before anything	text
6d033f49ad	1	31	#/texts/31	The	text
eb5b45cb04	1	32	#/texts/32	evaluate	text
f705037d2c	1	33	#/texts/33	phase replaces vibe checks with evidence before yo	text
06f28645ad	1	34	#/texts/34	The	text
f5e5174d0c	1	35	#/texts/35	deploy	text
77188c29bc	1	36	#/texts/36	phase promotes a versioned candidate to a reliable	text
4005f061e4	1	37	#/texts/37	The	text
01dd7d86a8	1	38	#/texts/38	monitor	text
4053697861	1	39	#/texts/39	phase is where you learn what is true under real-w	text
d77be37097	1	40	#/texts/40	The	text
d98eb263d7	1	41	#/texts/41	improve	text
64e876c52b	1	42	#/texts/42	phase closes the loop with targeted change. Once y	text
b87128f09d	1	43	#/texts/43	What This Lifecycle Solves	section_header
7540352a91	1	44	#/texts/44	Traditional software lives in a mostly determinist	text
0544a949c9	1	45	#/texts/45	Quality is hard to measure consistently.	list_item
f046785cab	1	46	#/texts/46	Probabilistic outputs and multicriteria judgment m	list_item
f9fd238c2f	1	47	#/texts/47	Observability gets harder as systems become compou	list_item
a6a843d84b	1	48	#/texts/48	Beyond a single prompt, failures become subtle: re	list_item
87fc07b0cb	1	49	#/texts/49	Iteration slows down without reusable evaluation d	list_item
101107cab8	1	50	#/texts/50	Manual testing and ad hoc examples do not scale. A	list_item
3c35d5e196	1	51	#/texts/51	Cost and performance trade-offs are unavoidable.	list_item
7453eeb62b	1	52	#/texts/52	Larger models may perform better but can be slower	list_item
4056c901d7	1	53	#/texts/53	Together, these challenges explain why a structure	text
0c78169486	1	54	#/texts/54	Hallmarks of Effective GenAI Workflows	section_header
52ac99552d	1	55	#/texts/55	Effective workflows tend to look similar across en	text
529ad1d130	1	56	#/texts/56	Table 2-1	text
3baa6f0e79	1	57	#/texts/57	contrasts sustainable \"do\" and \"don't\" best practi	text
f4c2943b70	1	58	#/tables/0	| Area                 | Do                       	table
bfdf1f5ced	1	59	#/texts/58	Use a consistent tracing schema from development t	text
83f03dd714	1	60	#/texts/59	Maintain versioned evaluation datasets that evolve	text
7066fee99f	1	61	#/texts/60	Define scorers that reflect business value and dom	text
445f64a797	1	62	#/texts/61	Gate deployments with explicit quality thresholds 	text
59efa4fbb1	1	63	#/texts/62	Version prompts, models, and configurations as a c	text
964aa5a9bb	1	64	#/texts/63	Preserve lineage from each live response back to t	text
e5e2cfecbf	1	65	#/texts/64	Track token and latency costs as first-class signa	text
cc19334e51	1	66	#/texts/65	Sustainable teams use these artifacts to make impr	text
9240d3f516	1	67	#/texts/66	Applying the Lifecycle to the Unity Airways Use Ca	section_header
4837597770	1	68	#/texts/67	For the Unity Airways customer assistant, we'll ap	text
8c4509b3b1	1	69	#/texts/68	Development	list_item
7e2779e5db	1	70	#/texts/69	Development starts with a minimal agent that can l	list_item
781e4477e9	1	71	#/texts/70	Evaluation	list_item
e6440165bb	1	72	#/texts/71	Evaluation turns early findings into a curated set	list_item
5cb5720329	1	73	#/texts/72	Deployment	list_item
605f6322b3	1	74	#/texts/73	Deployment promotes a versioned application behind	list_item
cb383347a4	1	75	#/texts/74	Monitoring	list_item
7620f94efa	1	76	#/texts/75	Monitoring collects real questions and reveals iss	list_item
dbb6951c97	1	77	#/texts/76	Improvement	list_item
0b3ad8c21e	1	78	#/texts/77	Improvement introduces targeted changes, such as t	list_item
7926683ec3	1	79	#/texts/78	This loop is the main idea of the chapter. Later c	text
89a7474dc5	1	80	#/texts/25	Diagram illustrating the five-phase GenAI applicat	caption
a6a348d995	1	81	#/texts/79	Develop with MLflow	title
bc8e883534	1	82	#/texts/80	Now that you have the five phases in view, let's l	text
7836d2de54	1	83	#/texts/81	Development is successful when you can do three th	text
45dac46339	1	84	#/texts/82	Explain behavior with traces rather than guess fro	list_item
319bab4c17	1	85	#/texts/83	Reproduce results by keeping prompts, configuratio	list_item
0edd2d9d6d	1	86	#/texts/84	Leave behind an evidence base that makes evaluatio	list_item
2f841011d7	1	87	#/texts/85	This is why development goes beyond getting a corr	text
98c56aea48	1	88	#/texts/86	Evidence-Driven Development Workflow	section_header
432af7613a	1	89	#/texts/87	As	text
dfe45e26f9	1	90	#/texts/88	Figure 2-2	text
47cfec4695	1	91	#/texts/89	illustrates, the development workflow starts with 	text
6416901bb6	1	92	#/pictures/1	Diagram illustrating a data-driven development cyc	picture
edc7c10dce	1	93	#/texts/91	Refinement becomes data driven. You adjust prompts	text
efbea77de4	1	94	#/texts/92	Building the Minimum Evaluable Product	section_header
60700abf6a	1	95	#/texts/93	A good development phase does not end at the first	text
ff4b9e0c7a	1	96	#/texts/94	That is what we mean by the \"minimum evaluable pro	text
7d7936397a	1	97	#/texts/95	Start with a single end-to-end path: for example, 	text
d736dea0f8	1	98	#/texts/96	Next, take a handful of realistic requests from tr	text
6db6e555f5	1	99	#/texts/97	Then define a minimal set of scorers that reflect 	text
d815591c72	1	100	#/texts/98	Structure validity, such as whether the output con	list_item
feae2d8186	1	101	#/texts/99	Groundedness with citation, such as requiring that	list_item
9d92226959	1	102	#/texts/100	Finally, version the pieces together. Version the 	text
97de529d7a	1	103	#/texts/101	In the Unity Airways assistant, the first path mig	text
5bcd801f36	1	104	#/texts/102	Practicing Trace-First Development	section_header
7a72e9bacd	1	105	#/texts/103	Observability should not be an afterthought that a	text
f3757275f6	1	106	#/texts/104	Tracing answer practical questions without digging	text
26dbe5afc4	1	107	#/texts/105	What did the retriever return, and how long did it	list_item
95002d0025	1	108	#/texts/106	Which tools succeeded or failed, and why?	list_item
7afb9fafa4	1	109	#/texts/107	How was the prompt resolved in context?	list_item
2c21c43a49	1	110	#/texts/108	Where did tokens and milliseconds actually go?	list_item
b957c656eb	1	111	#/texts/109	Nested steps make compound applications legible. Y	text
d3a88d60e6	1	112	#/texts/110	Keep step naming consistent.	list_item
230c624207	1	113	#/texts/111	Record configuration next to behavior.	list_item
d7ff78cfcb	1	114	#/texts/112	Route traces from notebooks, IDE runs, and local s	list_item
cdfb86fe86	1	115	#/texts/113	Privacy and governance start here:	text
965a651974	1	116	#/texts/114	Minimize raw personally identifiable information (	list_item
ea26685576	1	117	#/texts/115	Align development and production environment schem	list_item
648731ebc3	1	118	#/texts/116	Tag sensitive examples so they do not leak into sc	list_item
f0864d3cad	1	119	#/texts/117	The speed comes from the consistency of the signal	text
c61a3746bc	1	120	#/texts/118	Chapter 5	text
0143f3d1a1	1	121	#/texts/119	.	text
b037bd336e	1	122	#/texts/120	Versioning Development Process	section_header
0280fd4547	1	123	#/texts/121	In GenAI applications, prompts and configurations 	text
e56e7f624e	1	124	#/texts/122	For prompts and configuration:	text
2d3d30d9a8	1	125	#/texts/123	Version prompts and runtime configuration alongsid	list_item
2ab3e8ff0a	1	126	#/texts/124	Use descriptive names for prompt variants so inten	list_item
ecef667e80	1	127	#/texts/125	Capture intended use, constraints, and guardrails 	list_item
ebcf85efae	1	128	#/texts/126	Centralize shared constants such as tool names, re	list_item
fbe62c375a	1	129	#/texts/127	Link prompt sections to the scorers they are meant	list_item
a14b6331e3	1	130	#/texts/128	For retrieval and tools:	text
faa5f3cb31	1	131	#/texts/129	Document inputs, outputs, error modes, and timeout	list_item
b615cb5776	1	132	#/texts/130	Return machine-readable errors so the orchestrator	list_item
63aa3ff7d4	1	133	#/texts/131	Start with deterministic retrieval settings so att	list_item
324ba13787	1	134	#/texts/132	Log retrieval identifiers and snippet hashes as ML	list_item
3fc12b68e6	1	135	#/texts/133	MLflow experiments and registries make it practica	text
35cf0a0bc5	1	136	#/texts/134	Balancing Quality, Cost, Latency, Safety, and Prod	section_header
dfaa35986e	1	137	#/texts/135	Quality is multidimensional, and it shares the sta	text
83de569ebe	1	138	#/texts/136	Make trade-offs visible by attributing usage and t	text
241a1fd02e	1	139	#/texts/137	p50 and p95 latency targets	list_item
b0be9e140e	1	140	#/texts/138	Cost per request, segmented by intent or route	list_item
46f0146b6c	1	141	#/texts/139	Use these to guide design choices as you compare:	text
0e645817cd	1	142	#/texts/140	Smaller versus larger models	list_item
c0c1945449	1	143	#/texts/141	Stricter grounding versus simpler prompts	list_item
d98d8b64db	1	144	#/texts/142	Deeper toolchains versus direct answers	list_item
13e14808c8	1	145	#/texts/143	Safety is important too. Write down non-negotiable	text
56bf4875c7	1	146	#/texts/144	The qualitative side matters as much as the quanti	text
513d2de27f	1	147	#/texts/145	The Disciplined Iteration Loop	section_header
1f89ad081d	1	148	#/texts/146	Teams will naturally bounce between notebooks, IDE	text
db26fe7c57	1	149	#/texts/147	Notebooks for shared visibility and quick collabor	list_item
